TSV: 2026-01-11	bundesliga	Borussia Mönchengladbach	FC Augsburg	1388445	4-0	FT	3-0
TSV: 2026-01-11	bundesliga	Bayern München	VfL Wolfsburg	1388444	8-1	FT	2-1
TSV: 2026-01-11	coupe de france	Sochaux	Lens	1495632	0-3	FT	0-1
TSV: 2026-01-11	coupe de france	Chantilly	Rennes	1495621	1-3	FT	1-0
TSV: 2026-01-11	coupe de france	Le Mans	Nancy	1495624	0-0	PEN	0-0
TSV: 2026-01-11	coupe de france	Metz	Montpellier	1495627	0-4	FT	0-2
TSV: 2026-01-11	coupe de france	Nantes	Nice	1495629	1-1	PEN	0-1
TSV: 2026-01-11	coupe de france	Lille	Lyon	1495626	1-2	FT	1-2
TSV: 2026-01-11	eredivisie	Heerenveen	Feyenoord	1381023	2-2	FT	1-2
TSV: 2026-01-11	eredivisie	GO Ahead Eagles	Fortuna Sittard	1381021	2-2	FT	1-1
TSV: 2026-01-11	eredivisie	Telstar	Ajax	1381027	2-3	FT	0-2
TSV: 2026-01-11	eredivisie	Sparta Rotterdam	Heracles	1381026	2-0	FT	1-0
TSV: 2026-01-11	fa cup	Derby	Leeds	1490796	1-3	FT	1-0
TSV: 2026-01-11	fa cup	Portsmouth	Arsenal	1490810	1-4	FT	1-2
TSV: 2026-01-11	fa cup	Hull City	Blackburn	1490801	0-0	PEN	0-0
TSV: 2026-01-11	fa cup	Norwich	Walsall	1490809	5-1	FT	2-0
TSV: 2026-01-11	fa cup	Sheffield Utd	Mansfield Town	1490814	3-4	FT	1-2
TSV: 2026-01-11	fa cup	Swansea	West Brom	1490817	2-2	PEN	0-0
TSV: 2026-01-11	fa cup	West Ham	QPR	1490819	2-1	AET	1-0
TSV: 2026-01-11	fa cup	Manchester United	Brighton	1490806	1-2	FT	0-1
TSV: 2026-01-11	laliga	Rayo Vallecano	Mallorca	1391004	2-1	FT	2-1
TSV: 2026-01-11	laliga	Levante	Espanyol	1391003	1-1	FT	0-0
TSV: 2026-01-11	laliga2	Leganes	Valladolid	1391986	3-0	FT	2-0
TSV: 2026-01-11	laliga2	Granada CF	Castellón	1391993	0-0	FT	0-0
TSV: 2026-01-11	laliga2	Malaga	AD Ceuta FC	1391992	2-1	FT	2-1
TSV: 2026-01-11	liga mx	Leon	Cruz Azul	1491795	2-1	FT	1-0
TSV: 2026-01-11	liga mx	Santos Laguna	Necaxa	1491796	1-3	FT	1-2
TSV: 2026-01-11	liga mx	Monterrey	Toluca	1491797	0-1	FT	0-0
TSV: 2026-01-11	liga mx	U.N.A.M. - Pumas	Club Queretaro	1491798	1-1	FT	0-0
TSV: 2026-01-11	liga portugal	Nacional	Santa Clara	1396379	3-3	FT	2-2
TSV: 2026-01-11	liga portugal	Moreirense	Tondela	1396378	1-0	FT	0-0
TSV: 2026-01-11	liga portugal 2	Portimonense	Felgueiras 1932	1398111	0-0	FT	0-0
TSV: 2026-01-11	liga portugal 2	Chaves	Maritimo	1398114	2-3	FT	2-1
TSV: 2026-01-11	liga portugal 2	FC Porto B	Sporting CP B	1398105	2-1	FT	0-1
TSV: 2026-01-11	liga portugal 2	Oliveirense	Feirense	1398109	3-4	FT	2-1
TSV: 2026-01-11	premiership	Dundee	Heart Of Midlothian	1382794	0-1	FT	0-1
TSV: 2026-01-11	premiership	Aberdeen	Rangers	1382792	0-2	FT	0-1
TSV: 2026-01-11	serie a italia	Lecce	Parma	1378060	1-2	FT	1-0
TSV: 2026-01-11	serie a italia	Fiorentina	AC Milan	1378056	1-1	FT	0-0
TSV: 2026-01-11	serie a italia	Verona	Lazio	1378063	0-1	FT	0-0
TSV: 2026-01-11	serie a italia	Inter	Napoli	1378058	2-2	FT	1-1
TSV: 2026-01-11	serie b	Mantova	Palermo	1419775	1-1	FT	0-1
TSV: 2026-01-11	serie b	Padova	Modena	1419779	2-0	FT	1-0
TSV: 2026-01-11	taça de portugal	Torreense	União de Leiria	1494082	3-1	FT	1-1
