# date	league	home	away	league_id	home_id	away_id	fixture_id
2026-01-29	liga portugal 2	Benfica B	Lusitânia Lourosa	95	229	6358	1398141
2026-01-29	liga profesional argentina	River Plate	Gimnasia L.P.	128	435	434	1491845
2026-01-29	liga profesional argentina	Estudiantes L.P.	Boca Juniors	128	450	451	1491837
2026-01-29	liga profesional argentina	Deportivo Riestra	Defensa Y Justicia	128	476	442	1491836
2026-01-29	liga profesional argentina	Belgrano Cordoba	Tigre	128	440	452	1491835
2026-01-29	liga profesional argentina	Lanus	Union Santa Fe	128	446	441	1491841
2026-01-29	primera a colombia	Santa Fe	Deportivo Pereira	239	1139	1462	1505951
2026-01-29	primera a colombia	Deportivo Pasto	Millonarios	239	1126	1125	1505952
2026-01-29	primera a colombia	Rionegro Aguilas	Deportivo Cali	239	1144	1127	1505953
2026-01-29	primera división paraguay	2 de Mayo	Olimpia	250	2140	1182	1504965
2026-01-29	primera división paraguay	Sportivo Trinidense	Club Guarani	250	1187	1174	1504970
2026-01-29	saudi arabia	Al-Fateh	Al-Ittihad FC	307	2931	2938	1436080
2026-01-29	saudi arabia	Al-Hazm	Al Shabab	307	2945	2940	1436081
2026-01-29	saudi arabia	Al-Qadisiyah FC	Al-Hilal Saudi FC	307	2933	2932	1436077
2026-01-29	serie a brazil	Chapecoense-sc	Santos	71	132	128	1492112
2026-01-29	serie a brazil	Corinthians	Bahia	71	131	118	1492113
2026-01-29	serie a brazil	Sao Paulo	Flamengo	71	126	127	1492118
2026-01-29	uefa europa league	Aston Villa	Red Bull Salzburg	3	66	571	1451297
2026-01-29	uefa europa league	Celtic	Utrecht	3	247	207	1451302
2026-01-29	uefa europa league	FC Basel 1893	Plzen	3	551	567	1451293
2026-01-29	uefa europa league	FC Midtjylland	Dinamo Zagreb	3	397	620	1451301
2026-01-29	uefa europa league	FC Porto	Rangers	3	212	257	1451285
2026-01-29	uefa europa league	FCSB	Fenerbahçe	3	559	611	1451296
2026-01-29	uefa europa league	FK Crvena Zvezda	Celta Vigo	3	598	538	1451291
2026-01-29	uefa europa league	Genk	Malmo FF	3	742	375	1451298
2026-01-29	uefa europa league	GO Ahead Eagles	SC Braga	3	410	217	1451288
2026-01-29	uefa europa league	Lille	SC Freiburg	3	79	160	1451289
2026-01-29	uefa europa league	Ludogorets	Nice	3	566	84	1451300
2026-01-29	uefa europa league	Lyon	PAOK	3	80	619	1451294
2026-01-29	uefa europa league	Maccabi Tel Aviv	Bologna	3	604	500	1451295
2026-01-29	uefa europa league	Nottingham Forest	Ferencvarosi TC	3	65	651	1451299
2026-01-29	uefa europa league	Panathinaikos	AS Roma	3	617	497	1451290
2026-01-29	uefa europa league	Real Betis	Feyenoord	3	543	209	1451292
2026-01-29	uefa europa league	Sturm Graz	Brann	3	637	319	1451287
2026-01-29	uefa europa league	VfB Stuttgart	BSC Young Boys	3	172	565	1451286
