TSV: 2026-01-29	liga portugal 2	Benfica B	Lusitânia Lourosa	1398141	1-2	FT	0-0
TSV: 2026-01-29	liga profesional argentina	Estudiantes L.P.	Boca Juniors	1491837	2-1	FT	2-0
TSV: 2026-01-29	liga profesional argentina	Deportivo Riestra	Defensa Y Justicia	1491836	0-1	FT	0-1
TSV: 2026-01-29	liga profesional argentina	Belgrano Cordoba	Tigre	1491835	1-1	FT	0-0
TSV: 2026-01-29	liga profesional argentina	Lanus	Union Santa Fe	1491841	2-1	FT	1-0
TSV: 2026-01-29	primera a colombia	Deportivo Pasto	Millonarios	1505952	2-1	FT	1-1
TSV: 2026-01-29	primera a colombia	Rionegro Aguilas	Deportivo Cali	1505953	2-1	FT	0-0
TSV: 2026-01-29	primera división paraguay	Sportivo Trinidense	Club Guarani	1504970	0-0	FT	0-0
TSV: 2026-01-29	saudi arabia	Al-Fateh	Al-Ittihad FC	1436080	2-2	FT	0-1
TSV: 2026-01-29	saudi arabia	Al-Hazm	Al Shabab	1436081	0-4	FT	0-0
TSV: 2026-01-29	saudi arabia	Al-Qadisiyah FC	Al-Hilal Saudi FC	1436077	2-2	FT	1-1
TSV: 2026-01-29	serie a brazil	Sao Paulo	Flamengo	1492118	2-1	FT	0-0
TSV: 2026-01-29	uefa europa league	Aston Villa	Red Bull Salzburg	1451297	3-2	FT	0-1
TSV: 2026-01-29	uefa europa league	Celtic	Utrecht	1451302	4-2	FT	3-1
TSV: 2026-01-29	uefa europa league	FC Basel 1893	Plzen	1451293	0-1	FT	0-1
TSV: 2026-01-29	uefa europa league	FC Midtjylland	Dinamo Zagreb	1451301	2-0	FT	0-0
TSV: 2026-01-29	uefa europa league	FC Porto	Rangers	1451285	3-1	FT	3-1
TSV: 2026-01-29	uefa europa league	FCSB	Fenerbahçe	1451296	1-1	FT	0-1
TSV: 2026-01-29	uefa europa league	FK Crvena Zvezda	Celta Vigo	1451291	1-1	FT	0-0
TSV: 2026-01-29	uefa europa league	Genk	Malmo FF	1451298	2-1	FT	1-1
TSV: 2026-01-29	uefa europa league	GO Ahead Eagles	SC Braga	1451288	0-0	FT	0-0
TSV: 2026-01-29	uefa europa league	Lille	SC Freiburg	1451289	1-0	FT	0-0
TSV: 2026-01-29	uefa europa league	Ludogorets	Nice	1451300	1-0	FT	1-0
TSV: 2026-01-29	uefa europa league	Lyon	PAOK	1451294	4-2	FT	1-1
TSV: 2026-01-29	uefa europa league	Maccabi Tel Aviv	Bologna	1451295	0-3	FT	0-1
TSV: 2026-01-29	uefa europa league	Nottingham Forest	Ferencvarosi TC	1451299	4-0	FT	2-0
TSV: 2026-01-29	uefa europa league	Panathinaikos	AS Roma	1451290	1-1	FT	0-0
TSV: 2026-01-29	uefa europa league	Real Betis	Feyenoord	1451292	2-1	FT	2-0
TSV: 2026-01-29	uefa europa league	Sturm Graz	Brann	1451287	1-0	FT	0-0
TSV: 2026-01-29	uefa europa league	VfB Stuttgart	BSC Young Boys	1451286	3-2	FT	2-1
