TSV: 2026-02-08	2. bundesliga	Arminia Bielefeld	Eintracht Braunschweig	1388794	3-2	FT	2-2
TSV: 2026-02-08	2. bundesliga	Hannover 96	Holstein Kiel	1388798	3-1	FT	2-0
TSV: 2026-02-08	2. bundesliga	Karlsruher SC	Fortuna Düsseldorf	1388799	1-1	FT	0-1
TSV: 2026-02-08	bundesliga	1. FC Köln	RB Leipzig	1388490	1-2	FT	0-1
TSV: 2026-02-08	bundesliga	Bayern München	1899 Hoffenheim	1388488	5-1	FT	3-1
TSV: 2026-02-08	championship	Swansea	Sheffield Wednesday	1386911	4-0	FT	1-0
TSV: 2026-02-08	czech first league	Hradec Králové	Dukla Praha	1384812	3-0	FT	2-0
TSV: 2026-02-08	czech first league	Bohemians 1905	Pardubice	1384811	1-2	FT	0-0
TSV: 2026-02-08	czech first league	Zlin	Sparta Praha	1384818	0-3	FT	0-0
TSV: 2026-02-08	czech first league	Plzen	Slovan Liberec	1384815	3-1	FT	2-0
TSV: 2026-02-08	eredivisie	Utrecht	Feyenoord	1381063	0-1	FT	0-1
TSV: 2026-02-08	eredivisie	AZ Alkmaar	Ajax	1381056	1-1	FT	0-0
TSV: 2026-02-08	eredivisie	GO Ahead Eagles	Telstar	1381057	1-1	FT	0-0
TSV: 2026-02-08	eredivisie	Groningen	PSV Eindhoven	1381058	1-2	FT	1-0
TSV: 2026-02-08	laliga	Alaves	Getafe	1391039	0-2	FT	0-0
TSV: 2026-02-08	laliga	Athletic Club	Levante	1391040	4-2	FT	2-0
TSV: 2026-02-08	laliga	Sevilla	Girona	1391046	1-1	FT	0-1
TSV: 2026-02-08	laliga	Atletico Madrid	Real Betis	1391041	0-1	FT	0-1
TSV: 2026-02-08	laliga	Valencia	Real Madrid	1391047	0-2	FT	0-0
TSV: 2026-02-08	laliga2	Valladolid	Castellón	1392032	0-4	FT	0-3
TSV: 2026-02-08	laliga2	AD Ceuta FC	Cordoba	1392030		PST
TSV: 2026-02-08	laliga2	Cadiz	Almeria	1392037	1-2	FT	1-2
TSV: 2026-02-08	laliga2	Deportivo La Coruna	Albacete	1392036	2-1	FT	2-0
TSV: 2026-02-08	laliga2	Sporting Gijon	Huesca	1392038	2-1	FT	0-0
TSV: 2026-02-08	laliga2	Malaga	Cultural Leonesa	1392039	2-1	FT	0-1
TSV: 2026-02-08	liga mx	Atlas	U.N.A.M. - Pumas	1492505	2-2	FT	1-2
TSV: 2026-02-08	liga mx	Pachuca	FC Juarez	1492506	2-0	FT	1-0
TSV: 2026-02-08	liga mx	Club America	Monterrey	1492507	1-0	FT	0-0
TSV: 2026-02-08	liga portugal	Nacional	Casa Pia	1396425	0-0	FT	0-0
TSV: 2026-02-08	liga portugal	SC Braga	Rio Ave	1396419	3-0	FT	1-0
TSV: 2026-02-08	liga portugal	Benfica	Alverca	1396418	2-1	FT	1-1
TSV: 2026-02-08	liga portugal 2	Torreense	União de Leiria	1398157	3-1	FT	1-1
TSV: 2026-02-08	liga profesional argentina	Belgrano Cordoba	Banfield	1491865	1-0	FT	0-0
TSV: 2026-02-08	liga profesional argentina	Newells Old Boys	Defensa Y Justicia	1491872	2-3	FT	0-2
TSV: 2026-02-08	liga profesional argentina	Platense	Independiente	1491873	0-1	FT	0-0
TSV: 2026-02-08	liga profesional argentina	Sarmiento Junin	Atletico Tucuman	1491876	2-1	FT	2-0
TSV: 2026-02-08	liga profesional argentina	Huracan	San Lorenzo	1491870	1-0	FT	0-0
TSV: 2026-02-08	ligue 1	Nice	Monaco	1387885	0-0	FT	0-0
TSV: 2026-02-08	ligue 1	Angers	Toulouse	1387878	1-0	FT	0-0
TSV: 2026-02-08	ligue 1	Auxerre	Paris FC	1387879	0-0	FT	0-0
