TSV: 2026-03-09	fa cup	West Ham	Brentford	1523414	2-2	PEN	2-1
TSV: 2026-03-09	laliga	Espanyol	Oviedo	1391082	1-1	FT	1-1
TSV: 2026-03-09	laliga2	Almeria	Cultural Leonesa	1392073	3-0	FT	1-0
TSV: 2026-03-09	liga mx	Club Tijuana	Santos Laguna	1492552	1-2	FT	0-0
TSV: 2026-03-09	liga portugal	Tondela	Rio Ave	1396461	0-1	FT	0-0
TSV: 2026-03-09	liga portugal 2	Benfica B	Feirense	1398185	3-0	FT	1-0
TSV: 2026-03-09	ligue 2	Dunkerque	Reims	1389336	1-1	FT	1-0
TSV: 2026-03-09	primera división paraguay	Sportivo Trinidense	Nacional Asuncion	1505012	1-1	FT	1-1
TSV: 2026-03-09	serie a italia	Lazio	Sassuolo	1378140	2-1	FT	1-1
TSV: 2026-03-09	super lig	Eyüpspor	Kocaelispor	1394652	0-1	FT	0-1
TSV: 2026-03-09	super lig	Alanyaspor	Gençlerbirliği S.K.	1394649	0-0	FT	0-0
TSV: 2026-03-09	super lig	Kayserispor	Trabzonspor	1394655	1-3	FT	0-2
