TSV:	2026-03-26	02:00	primera a colombia	America de Cali (8) vs Llaneros (13)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:8-13]	1.35

TSV:	2026-03-26	12:00	international friendlies	Iceland U19 (—) vs USA U18 (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—

TSV:	2026-03-26	13:00	international friendlies	Vietnam (—) vs Bangladesh (—)	Over 15 (FT)	3.0	MOYEN PLUS [R:—-—]	1.15

TSV:	2026-03-26	14:00	international friendlies	Qatar (—) vs Serbia (—)	Over 15 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-26	14:00	international friendlies	Singapore (—) vs Faroe Islands (—)	Over 15 (FT)	4.0	FORT [R:—-—]	—

TSV:	2026-03-26	15:00	international friendlies	Kyrgyz Republic U23 (—) vs Serbia U21 (—)	Over 15 (FT)	4.0	FORT [R:—-—]	—

TSV:	2026-03-26	16:00	international friendlies	Moldova (—) vs Lithuania (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	1.45

TSV:	2026-03-26	16:25	international friendlies	United Arab Emirates (—) vs Armenia (—)	Over 15 (FT)	7.0	EXPLOSION [R:—-—]	—

TSV:	2026-03-26	18:00	international friendlies	Cyprus (—) vs Belarus (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	1.38
TSV:	2026-03-26	18:00	international friendlies	Georgia (—) vs Israel (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	1.28

TSV:	2026-03-26	21:00	international friendlies	Brazil (—) vs France (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	1.22
