TSV:	2026-03-26	02:00	primera a colombia	America de Cali (8) vs Llaneros (13)	Over 25 (FT)	7.0	EXPLOSION [R:8-13]	2.05

TSV:	2026-03-26	12:00	international friendlies	Iceland U19 (—) vs USA U18 (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	—

TSV:	2026-03-26	14:00	international friendlies	Singapore (—) vs Faroe Islands (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	—

TSV:	2026-03-26	15:00	international friendlies	Kyrgyz Republic U23 (—) vs Serbia U21 (—)	Over 25 (FT)	4.0	FORT [R:—-—]	—

TSV:	2026-03-26	16:00	international friendlies	Moldova (—) vs Lithuania (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	2.45

TSV:	2026-03-26	16:25	international friendlies	United Arab Emirates (—) vs Armenia (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	—

TSV:	2026-03-26	18:00	international friendlies	Cyprus (—) vs Belarus (—)	Over 25 (FT)	8.0	MEGA EXPLOSION [R:—-—]	2.15
TSV:	2026-03-26	18:00	international friendlies	Georgia (—) vs Israel (—)	Over 25 (FT)	8.0	MEGA EXPLOSION [R:—-—]	1.8
TSV:	2026-03-26	18:00	uefa wc qualifiers	Türkiye (—) vs Romania (—)	Over 25 (FT)	8.0	MEGA EXPLOSION [R:—-—]	1.62

TSV:	2026-03-26	20:45	uefa wc qualifiers	Slovakia (—) vs Kosovo (—)	Over 25 (FT)	4.0	FORT [R:—-—]	2.45
TSV:	2026-03-26	20:45	uefa wc qualifiers	Czech Republic (—) vs Rep. Of Ireland (—)	Over 25 (FT)	4.0	FORT [R:—-—]	2.2
TSV:	2026-03-26	20:45	uefa wc qualifiers	Ukraine (—) vs Sweden (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	2.1
TSV:	2026-03-26	20:45	uefa wc qualifiers	Wales (—) vs Bosnia & Herzegovina (—)	Over 25 (FT)	8.0	MEGA EXPLOSION [R:—-—]	1.95
TSV:	2026-03-26	20:45	uefa wc qualifiers	Italy (—) vs Northern Ireland (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	1.83
TSV:	2026-03-26	20:45	uefa wc qualifiers	Denmark (—) vs FYR Macedonia (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	1.65

TSV:	2026-03-26	21:00	international friendlies	Brazil (—) vs France (—)	Over 25 (FT)	6.0	TRÈS FORT [R:—-—]	1.67
