TSV:	2026-03-27	00:00	cymru premier league	Caernarfon Town (5) vs The New Saints (1)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:5-1]	—
TSV:	2026-03-27	00:00	international friendlies	Kyrgyz Republic U23 (—) vs Jordan U23 (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Tunisia U20 (—) vs Mauritania U20 (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Argentina U20 (—) vs United States U20 (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Italy U20 (—) vs England U20 (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Kyrgyz Republic U20 (—) vs Bosnia-Herzegovina U17 (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Mexico U20 (—) vs Costa Rica U20 (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	South Africa (—) vs Panama (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Greece (—) vs Paraguay (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Netherlands (—) vs Norway (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Switzerland (—) vs Germany (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-27	00:00	laliga2	Cordoba (12) vs Mirandes (21)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:12-21]	—
TSV:	2026-03-27	00:00	primera división paraguay	Deportivo Recoleta (7) vs Rubio NU (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:7-—]	—
TSV:	2026-03-27	00:00	international friendlies	Colombia (—) vs Croatia (—)	Over 15 (FT)	7.0	EXPLOSION [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Austria (—) vs Ghana (—)	Over 15 (FT)	7.0	EXPLOSION [R:—-—]	—
TSV:	2026-03-27	00:00	primera división paraguay	Nacional Asuncion (8) vs Sportivo Luqueno (10)	Over 15 (FT)	7.0	EXPLOSION [R:8-10]	—
TSV:	2026-03-27	00:00	international friendlies	Russia U21 (—) vs Uzbekistan U23 (—)	Over 15 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Russia (—) vs Nicaragua (—)	Over 15 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Algeria U23 (—) vs Congo DR U23 (—)	Over 15 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Jordan (—) vs Costa Rica (—)	Over 15 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Algeria (—) vs Guatemala (—)	Over 15 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	England (—) vs Uruguay (—)	Over 15 (FT)	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Guinea (—) vs Togo (—)	Over 15 (FT)	5.0	FORT PLUS [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Spain (—) vs Serbia (—)	Over 15 (FT)	5.0	FORT PLUS [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Morocco (—) vs Ecuador (—)	Over 15 (FT)	5.0	FORT PLUS [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Iran (—) vs Nigeria (—)	Over 15 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Liberia (—) vs Mauritania (—)	Over 15 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Benin (—) vs Liberia (—)	Over 15 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Russia (—) vs Mali (—)	Over 15 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Slovakia U18 (—) vs Serbia U18 (—)	Over 15 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	UAE U23 (—) vs Oman U23 (—)	Over 15 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Montenegro (—) vs Andorra (—)	Over 15 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-27	00:00	international friendlies	Libya (—) vs Niger (—)	Over 15 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-27	00:00	liga profesional argentina	Argentinos JRS (5) vs Lanus (2)	Over 15 (FT)	4.0	FORT [R:5-2]	—
TSV:	2026-03-27	00:00	international friendlies	Côte d'Ivoire U20 (—) vs Tunisia U23 (—)	Over 15 (FT)	3.0	MOYEN PLUS [R:—-—]	—
TSV:	2026-03-27	00:00	primera a colombia	Águilas Doradas (10) vs Alianza Valledupar (9)	Over 15 (FT)	3.0	MOYEN PLUS [R:10-9]	—
