league	bet_key	samples	success	fail	success_rate
taça de portugal	HT05	7	7	0	1.0
taça de portugal	HT1X_HOME	7	7	0	1.0
taça de portugal	TEAM1_SCORE_FT	7	7	0	1.0
taça da liga	O15_FT	5	5	0	1.0
taça da liga	HT05	5	5	0	1.0
taça da liga	TEAM1_SCORE_FT	5	5	0	1.0
taça da liga	TEAM2_SCORE_FT	5	5	0	1.0
dfb pokal	O15_FT	4	4	0	1.0
dfb pokal	HT1X_HOME	4	4	0	1.0
schweizer cup	O15_FT	4	4	0	1.0
schweizer cup	HT05	4	4	0	1.0
schweizer cup	TEAM1_SCORE_FT	4	4	0	1.0
schweizer cup	TEAM2_SCORE_FT	4	4	0	1.0
uefa champions league	O15_FT	45	42	3	0.933333
primera división paraguay	HT1X_HOME	13	12	1	0.923077
fa cup	TEAM2_SCORE_FT	51	47	4	0.921569
uefa champions league	TEAM1_SCORE_FT	45	41	4	0.911111
fa cup	O15_FT	51	46	5	0.901961
scottish cup	TEAM1_SCORE_FT	20	18	2	0.9
super league switzerland	O15_FT	28	25	3	0.892857
super league switzerland	TEAM1_SCORE_FT	28	25	3	0.892857
copa del rey	O15_FT	18	16	2	0.888889
copa del rey	TEAM2_SCORE_FT	18	16	2	0.888889
belgian cup	HT05	9	8	1	0.888889
bundesliga	O15_FT	60	53	7	0.883333
bundesliga	TEAM1_SCORE_FT	60	53	7	0.883333
2. bundesliga	O15_FT	33	29	4	0.878788
laliga	O15_FT	56	49	7	0.875
fa cup	HT05	51	44	7	0.862745
super lig	O15_FT	29	25	4	0.862069
super lig	TEAM2_SCORE_FT	29	25	4	0.862069
laliga2	TEAM1_SCORE_FT	61	52	9	0.852459
scottish cup	O15_FT	20	17	3	0.85
2. bundesliga	TEAM1_SCORE_FT	33	28	5	0.848485
eredivisie	TEAM1_SCORE_FT	46	39	7	0.847826
coupe de france	O15_FT	32	27	5	0.84375
fa cup	TEAM1_SCORE_FT	51	43	8	0.843137
superligaen	TEAM2_SCORE_FT	18	15	3	0.833333
eredivisie	O15_FT	46	38	8	0.826087
uefa champions league	HT1X_HOME	45	37	8	0.822222
laliga	TEAM1_SCORE_FT	56	46	10	0.821429
laliga	TEAM2_SCORE_FT	56	46	10	0.821429
super league switzerland	TEAM2_SCORE_FT	28	23	5	0.821429
bundesliga	HT05	60	49	11	0.816667
premier league	O15_FT	87	71	16	0.816092
liga portugal	TEAM1_SCORE_FT	43	35	8	0.813953
czech first league	O15_FT	16	13	3	0.8125
cymru premier league	TEAM2_SCORE_FT	21	17	4	0.809524
uefa europa league	TEAM1_SCORE_FT	36	29	7	0.805556
serie b	HT1X_HOME	66	53	13	0.80303
serie b	TEAM1_SCORE_FT	66	53	13	0.80303
bundesliga	TEAM2_SCORE_FT	60	48	12	0.8
scottish cup	HT1X_HOME	20	16	4	0.8
league cup	O15_FT	5	4	1	0.8
league cup	TEAM1_SCORE_FT	5	4	1	0.8
league cup	TEAM2_SCORE_FT	5	4	1	0.8
liga portugal 2	HT1X_HOME	49	39	10	0.795918
liga portugal	O15_FT	43	34	9	0.790698
ligue 2	HT1X_HOME	43	34	9	0.790698
laliga2	HT1X_HOME	61	48	13	0.786885
laliga	HT1X_HOME	56	44	12	0.785714
pro league	O15_FT	28	22	6	0.785714
primera a colombia	HT1X_HOME	28	22	6	0.785714
saudi arabia	TEAM1_SCORE_FT	92	72	20	0.782609
eredivisie	TEAM2_SCORE_FT	46	36	10	0.782609
premier league	TEAM1_SCORE_FT	87	68	19	0.781609
serie a italia	O15_FT	86	67	19	0.77907
liga mx	TEAM2_SCORE_FT	44	34	10	0.772727
laliga2	O15_FT	61	47	14	0.770492
serie a italia	TEAM1_SCORE_FT	86	66	20	0.767442
bundesliga	HT1X_HOME	60	46	14	0.766667
liga profesional argentina	HT1X_HOME	42	32	10	0.761905
cymru premier league	O15_FT	21	16	5	0.761905
saudi arabia	O15_FT	92	70	22	0.76087
premier league	HT1X_HOME	87	66	21	0.758621
super lig	HT05	29	22	7	0.758621
super lig	HT1X_HOME	29	22	7	0.758621
super lig	TEAM1_SCORE_FT	29	22	7	0.758621
2. bundesliga	TEAM2_SCORE_FT	33	25	8	0.757576
championship	O15_FT	94	71	23	0.755319
liga portugal 2	TEAM1_SCORE_FT	49	37	12	0.755102
uefa europa league	HT1X_HOME	36	27	9	0.75
coupe de france	HT05	32	24	8	0.75
coupe de france	TEAM2_SCORE_FT	32	24	8	0.75
super league switzerland	HT1X_HOME	28	21	7	0.75
primera a colombia	TEAM1_SCORE_FT	28	21	7	0.75
serie a brazil	HT1X_HOME	20	15	5	0.75
czech first league	TEAM1_SCORE_FT	16	12	4	0.75
dfb pokal	TEAM1_SCORE_FT	4	3	1	0.75
schweizer cup	HT1X_HOME	4	3	1	0.75
championship	HT1X_HOME	94	70	24	0.744681
liga portugal	HT1X_HOME	43	32	11	0.744186
eredivisie	HT05	46	34	12	0.73913
liga profesional argentina	TEAM1_SCORE_FT	42	31	11	0.738095
premiership	TEAM1_SCORE_FT	38	28	10	0.736842
liga mx	O15_FT	44	32	12	0.727273
2. bundesliga	HT05	33	24	9	0.727273
premier league	HT05	87	63	24	0.724138
copa del rey	HT1X_HOME	18	13	5	0.722222
superligaen	HT1X_HOME	18	13	5	0.722222
superligaen	TEAM1_SCORE_FT	18	13	5	0.722222
eredivisie	HT1X_HOME	46	33	13	0.717391
liga portugal 2	TEAM2_SCORE_FT	49	35	14	0.714286
pro league	HT05	28	20	8	0.714286
cymru premier league	HT05	21	15	6	0.714286
taça de portugal	O15_FT	7	5	2	0.714286
taça de portugal	TEAM2_SCORE_FT	7	5	2	0.714286
uefa champions league	HT05	45	32	13	0.711111
premiership	O15_FT	38	27	11	0.710526
premiership	HT1X_HOME	38	27	11	0.710526
ligue 1	HT1X_HOME	41	29	12	0.707317
laliga2	HT05	61	43	18	0.704918
premier league	TEAM2_SCORE_FT	87	61	26	0.701149
serie a brazil	TEAM1_SCORE_FT	20	14	6	0.7
serie a brazil	TEAM2_SCORE_FT	20	14	6	0.7
serie a italia	TEAM2_SCORE_FT	86	60	26	0.697674
serie b	O15_FT	66	46	20	0.69697
uefa europa league	O15_FT	36	25	11	0.694444
