league	bet_a	bet_b	n_pair	phi	p_b_given_a	p_b	lift	joint_rate
2. bundesliga	O15_FT	TEAM2_SCORE_FT	33	0.656532	0.862069	0.757576	1.137931	0.757576
2. bundesliga	HT05	HT1X_HOME	33	-0.433013	0.541667	0.666667	0.8125	0.393939
2. bundesliga	HT1X_HOME	TEAM2_SCORE_FT	33	-0.4	0.636364	0.757576	0.84	0.424242
2. bundesliga	O15_FT	HT05	33	0.398001	0.793103	0.727273	1.090517	0.69697
2. bundesliga	O15_FT	TEAM1_SCORE_FT	33	0.360965	0.896552	0.848485	1.05665	0.787879
2. bundesliga	HT05	TEAM1_SCORE_FT	33	0.31053	0.916667	0.848485	1.080357	0.666667
2. bundesliga	HT05	TEAM2_SCORE_FT	33	0.288675	0.833333	0.757576	1.1	0.606061
2. bundesliga	O15_FT	HT1X_HOME	33	-0.262613	0.62069	0.666667	0.931034	0.545455
2. bundesliga	TEAM1_SCORE_FT	TEAM2_SCORE_FT	33	0.15538	0.785714	0.757576	1.037143	0.666667
2. bundesliga	HT1X_HOME	TEAM1_SCORE_FT	33	0.059761	0.863636	0.848485	1.017857	0.575758
belgian cup	HT1X_HOME	TEAM1_SCORE_FT	9	0.790569	0.833333	0.555556	1.5	0.555556
belgian cup	HT1X_HOME	TEAM2_SCORE_FT	9	-0.632456	0.333333	0.555556	0.6	0.222222
belgian cup	O15_FT	TEAM2_SCORE_FT	9	0.55	0.8	0.555556	1.44	0.444444
belgian cup	O15_FT	HT05	9	0.395285	1.0	0.888889	1.125	0.555556
belgian cup	HT05	TEAM1_SCORE_FT	9	0.395285	0.625	0.555556	1.125	0.555556
belgian cup	HT05	TEAM2_SCORE_FT	9	0.395285	0.625	0.555556	1.125	0.555556
belgian cup	TEAM1_SCORE_FT	TEAM2_SCORE_FT	9	-0.35	0.4	0.555556	0.72	0.222222
belgian cup	HT05	HT1X_HOME	9	-0.25	0.625	0.666667	0.9375	0.555556
belgian cup	O15_FT	HT1X_HOME	9	-0.158114	0.6	0.666667	0.9	0.333333
belgian cup	O15_FT	TEAM1_SCORE_FT	9	0.1	0.6	0.555556	1.08	0.333333
bundesliga	O15_FT	TEAM2_SCORE_FT	60	0.726844	0.90566	0.8	1.132075	0.8
bundesliga	HT05	TEAM2_SCORE_FT	60	0.301511	0.857143	0.8	1.071429	0.7
bundesliga	HT1X_HOME	TEAM1_SCORE_FT	60	0.290508	0.934783	0.883333	1.058244	0.716667
