TSV:	2026-03-28	02:10	primera a colombia	Bucaramanga (4) vs Santa Fe (7)	HT+0.5	4.0	FORT [R:4-7]	1.48

TSV:	2026-03-28	08:00	international friendlies	Thailand U23 (—) vs Vietnam U23 (—)	HT+0.5	4.0	FORT [R:—-—]	1.4
TSV:	2026-03-28	08:00	international friendlies	China PR U20 (—) vs Australia U20 (—)	HT+0.5	5.0	FORT PLUS [R:—-—]	—

TSV:	2026-03-28	11:00	international friendlies	Wales U19 (—) vs USA U19 (—)	HT+0.5	8.0	MEGA EXPLOSION [R:—-—]	—

TSV:	2026-03-28	14:00	laliga2	AD Ceuta FC (10) vs Cadiz (16)	HT+0.5	8.0	MEGA EXPLOSION [R:10-16]	1.36

TSV:	2026-03-28	15:00	international friendlies	South Korea (—) vs Ivory Coast (—)	HT+0.5	6.0	TRÈS FORT [R:—-—]	1.4
TSV:	2026-03-28	15:00	international friendlies	San Marino (—) vs Faroe Islands (—)	HT+0.5	8.0	MEGA EXPLOSION [R:—-—]	1.35
TSV:	2026-03-28	15:00	international friendlies	Kyrgyzstan (—) vs Madagascar (—)	HT+0.5	8.0	MEGA EXPLOSION [R:—-—]	—

TSV:	2026-03-28	15:30	cymru premier league	Penybont (5) vs Colwyn Bay (3)	HT+0.5	7.0	EXPLOSION [R:5-3]	1.36
TSV:	2026-03-28	15:30	cymru premier league	Flint Town United (4) vs llanelli AFC (6)	HT+0.5	5.0	FORT PLUS [R:4-6]	1.2

TSV:	2026-03-28	16:15	laliga2	Granada CF (14) vs Huesca (19)	HT+0.5	5.0	FORT PLUS [R:14-19]	1.44
TSV:	2026-03-28	16:15	laliga2	Valladolid (18) vs Burgos (7)	HT+0.5	4.0	FORT [R:18-7]	1.44

TSV:	2026-03-28	17:00	international friendlies	Senegal (—) vs Peru (—)	HT+0.5	5.0	FORT PLUS [R:—-—]	1.36
TSV:	2026-03-28	17:00	international friendlies	Botswana (—) vs Zimbabwe (—)	HT+0.5	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-28	17:00	international friendlies	Egypt U20 (—) vs Algeria U20 (—)	HT+0.5	8.0	MEGA EXPLOSION [R:—-—]	—

TSV:	2026-03-28	18:00	international friendlies	Scotland (—) vs Japan (—)	HT+0.5	8.0	MEGA EXPLOSION [R:—-—]	1.4
TSV:	2026-03-28	18:00	international friendlies	Hungary (—) vs Slovenia (—)	HT+0.5	4.0	FORT [R:—-—]	1.38

TSV:	2026-03-28	20:30	international friendlies	USA (—) vs Belgium (—)	HT+0.5	8.0	MEGA EXPLOSION [R:—-—]	1.33

TSV:	2026-03-28	21:00	laliga2	Albacete (11) vs Castellón (6)	HT+0.5	4.0	FORT [R:11-6]	1.3
