TSV:	2026-03-31	01:10	primera a colombia	Independiente Medellin (1) vs America de Cali (8)	HT 1X Home	5.0	FORT PLUS [R:1-8]	1.22

TSV:	2026-03-31	12:00	international friendlies	Korea Republic U23 (—) vs USA U21 (—)	HT 1X Home	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-31	12:00	international friendlies	India U17 (—) vs Korea Republic U17 (—)	HT 1X Home	3.0	MOYEN PLUS [R:—-—]	—

TSV:	2026-03-31	13:35	international friendlies	China PR U20 (—) vs Australia U20 (—)	HT 1X Home	4.0	FORT [R:—-—]	1.4

TSV:	2026-03-31	14:00	international friendlies	Morocco U18 (—) vs Iceland U19 (—)	HT 1X Home	6.0	TRÈS FORT [R:—-—]	—
TSV:	2026-03-31	14:00	international friendlies	Palestine (—) vs Mauritania (—)	HT 1X Home	5.0	FORT PLUS [R:—-—]	—

TSV:	2026-03-31	15:00	international friendlies	Costa Rica (—) vs Iran (—)	HT 1X Home	4.0	FORT [R:—-—]	1.4
TSV:	2026-03-31	15:00	international friendlies	Botswana (—) vs Malawi (—)	HT 1X Home	4.0	FORT [R:—-—]	1.21
TSV:	2026-03-31	15:00	international friendlies	Portugal U18 (—) vs USA U18 (—)	HT 1X Home	5.0	FORT PLUS [R:—-—]	—

TSV:	2026-03-31	15:30	international friendlies	India U23 (—) vs Tajikistan U23 (—)	HT 1X Home	3.0	MOYEN PLUS [R:—-—]	1.33

TSV:	2026-03-31	15:45	international friendlies	UAE U23 (—) vs Oman U23 (—)	HT 1X Home	4.0	FORT [R:—-—]	1.21

TSV:	2026-03-31	16:45	international friendlies	Croatia U18 (—) vs England U18 (—)	HT 1X Home	4.0	FORT [R:—-—]	—

TSV:	2026-03-31	17:00	international friendlies	Niger (—) vs Togo (—)	HT 1X Home	4.0	FORT [R:—-—]	1.17

TSV:	2026-03-31	18:00	international friendlies	Montenegro (—) vs Slovenia (—)	HT 1X Home	4.0	FORT [R:—-—]	1.3
TSV:	2026-03-31	18:00	international friendlies	Zimbabwe (—) vs Zambia U23 (—)	HT 1X Home	8.0	MEGA EXPLOSION [R:—-—]	—

TSV:	2026-03-31	19:00	liga profesional argentina	Aldosivi (13) vs Argentinos JRS (5)	HT 1X Home	4.0	FORT [R:13-5]	1.45
TSV:	2026-03-31	19:00	international friendlies	Hungary (—) vs Greece (—)	HT 1X Home	4.0	FORT [R:—-—]	1.3
TSV:	2026-03-31	19:00	laliga2	Mirandes (21) vs Albacete (11)	HT 1X Home	4.0	FORT [R:21-11]	1.29

TSV:	2026-03-31	20:00	international friendlies	Guinea (—) vs Benin (—)	HT 1X Home	5.0	FORT PLUS [R:—-—]	1.2
TSV:	2026-03-31	20:00	laliga2	Deportivo La Coruna (2) vs Cordoba (14)	HT 1X Home	5.0	FORT PLUS [R:2-14]	1.2
TSV:	2026-03-31	20:00	international friendlies	Morocco (—) vs Paraguay (—)	HT 1X Home	6.0	TRÈS FORT [R:—-—]	1.18
TSV:	2026-03-31	20:00	international friendlies	Peru (—) vs Honduras (—)	HT 1X Home	6.0	TRÈS FORT [R:—-—]	1.18

TSV:	2026-03-31	20:30	international friendlies	Algeria (—) vs Uruguay (—)	HT 1X Home	6.0	TRÈS FORT [R:—-—]	1.4
TSV:	2026-03-31	20:30	international friendlies	Scotland (—) vs Ivory Coast (—)	HT 1X Home	5.0	FORT PLUS [R:—-—]	1.4

TSV:	2026-03-31	20:45	uefa wc qualifiers	Kosovo (—) vs Türkiye (—)	HT 1X Home	3.0	MOYEN PLUS [R:—-—]	1.45
TSV:	2026-03-31	20:45	international friendlies	Ukraine (—) vs Albania (—)	HT 1X Home	3.0	MOYEN PLUS [R:—-—]	1.25
TSV:	2026-03-31	20:45	international friendlies	Wales (—) vs Northern Ireland (—)	HT 1X Home	4.0	FORT [R:—-—]	1.18

TSV:	2026-03-31	23:30	primera división paraguay	2 de Mayo (11) vs Nacional Asuncion (8)	HT 1X Home	4.0	FORT [R:11-8]	1.36
