# date	league	home	away	league_id	home_id	away_id	fixture_id
2025-12-27	africa cup of nations	Benin	Botswana	6	1516	1520	1347258
2025-12-27	africa cup of nations	Senegal	Congo DR	6	13	1508	1347257
2025-12-27	africa cup of nations	Uganda	Tanzania	6	1519	1489	1347256
2025-12-27	africa cup of nations	Nigeria	Tunisia	6	19	28	1347255
2025-12-27	club friendly games	Atlas	Leones Negros UDG	667	2283	2307	1501345
2025-12-27	cymru premier league	Caernarfon Town	Colwyn Bay	110	356	5611	1401132
2025-12-27	liga portugal	Famalicao	Estrela	94	242	15130	1396376
2025-12-27	liga portugal	Estoril	Alverca	94	230	4724	1396375
2025-12-27	premier league	Nottingham Forest	Manchester City	39	65	50	1379146
2025-12-27	premier league	Arsenal	Brighton	39	42	51	1379139
2025-12-27	premier league	Brentford	Bournemouth	39	55	35	1379140
2025-12-27	premier league	Burnley	Everton	39	44	45	1379141
2025-12-27	premier league	Liverpool	Wolves	39	40	39	1379144
2025-12-27	premier league	West Ham	Fulham	39	48	36	1379148
2025-12-27	premier league	Chelsea	Aston Villa	39	49	66	1379142
2025-12-27	premiership	Hibernian	Heart Of Midlothian	179	249	254	1382774
2025-12-27	premiership	Dundee	Falkirk	179	253	1389	1382776
2025-12-27	premiership	Livingston	Celtic	179	255	247	1382777
2025-12-27	premiership	Rangers	Motherwell	179	257	256	1382778
2025-12-27	premiership	ST Mirren	Kilmarnock	179	251	250	1382779
2025-12-27	premiership	Aberdeen	Dundee Utd	179	252	1386	1382775
2025-12-27	pro league	Antwerp	Zulte Waregem	144	740	600	1382585
2025-12-27	pro league	RAAL La Louvière	OH Leuven	144	5902	260	1382580
2025-12-27	pro league	KV Mechelen	Dender	144	266	6215	1382582
2025-12-27	pro league	Gent	KVC Westerlo	144	631	261	1382583
2025-12-27	saudi arabia	Al-Qadisiyah FC	Damac	307	2933	2956	1436010
2025-12-27	saudi arabia	Al-Nassr	Al Okhdood	307	2939	2977	1436009
2025-12-27	saudi arabia	Al-Ittihad FC	Al Shabab	307	2938	2940	1436003
2025-12-27	serie a italia	Parma	Fiorentina	135	523	502	1378029
2025-12-27	serie a italia	Lecce	Como	135	867	895	1378027
2025-12-27	serie a italia	Torino	Cagliari	135	503	490	1378032
2025-12-27	serie a italia	Udinese	Lazio	135	494	487	1378033
2025-12-27	serie a italia	Pisa	Juventus	135	801	496	1378030
2025-12-27	serie b	Spezia	Pescara	136	515	525	1419762
2025-12-27	serie b	Carrarese	Mantova	136	1581	1693	1419765
2025-12-27	serie b	Catanzaro	Cesena	136	1687	509	1419767
2025-12-27	serie b	Empoli	Frosinone	136	511	512	1419770
2025-12-27	serie b	Juve Stabia	Sudtirol	136	863	1578	1419761
2025-12-27	serie b	Sampdoria	Reggiana	136	498	880	1419764
2025-12-27	serie b	Venezia	Virtus Entella	136	517	527	1419763
2025-12-27	serie b	Palermo	Padova	136	522	870	1419766
2025-12-27	serie b	Bari	Avellino	136	508	528	1419768
2025-12-27	taça de portugal	Lusitano Évora 1911	Fafe	96	15207	809	1488361
