raw_name	league_id	season	best_score	candidate_norms
Motherwell	179	2025	0.00	
Cultural Leonesa	143	2025	0.00	
FC Andorra	143	2025	0.00	
Mirandes	143	2025	0.00	
Sporting Gijon	143	2025	0.00	
CF Talavera	143	2025	0.00	
Malaga	143	2025	0.00	
Real Murcia	143	2025	0.00	
Cadiz	143	2025	0.00	
Eldense	143	2025	0.00	
Almeria	143	2025	0.00	
Antoniano	143	2025	0.00	
Villarreal	143	2025	0.00	
Pontevedra	143	2025	0.00	
Eibar	143	2025	0.00	
Ourense CF	143	2025	0.00	
Girona	143	2025	0.00	
Quintanar del Rey	143	2025	0.00	
Elche	143	2025	0.00	
Torrent	143	2025	0.00	
Real Betis	143	2025	0.00	
Cieza	143	2025	0.00	
Levante	143	2025	0.00	
Reddis	143	2025	0.00	
Real Sociedad	143	2025	0.00	
Athletic Club	140	2025	0.00	
Real Madrid	140	2025	0.00	
Zug	209	2025	0.00	
FC Luzern	209	2025	0.00	
Rapperswil	209	2025	0.00	
FC ST. Gallen	209	2025	0.00	
Yverdon Sport	209	2025	0.00	
Lausanne	209	2025	0.00	
Artis	347	2025	0.00	
Sparta Praha	347	2025	0.00	
Falkirk	179	2025	0.00	
Tigres UANL	262	2025	0.00	
Cruz Azul	262	2025	0.00	
Utrecht	88	2025	0.00	
Twente	88	2025	0.00	
AZ Alkmaar	88	2025	0.00	
GO Ahead Eagles	88	2025	0.00	
FC Volendam	88	2025	0.00	
NEC Nijmegen	88	2025	0.00	
Sparta Rotterdam	88	2025	0.00	
NAC Breda	88	2025	0.00	
Estoril	94	2025	0.00	
Moreirense	94	2025	0.00	
Alverca	94	2025	0.00	
Nacional	94	2025	0.00	
Estrela	94	2025	0.00	
Arouca	94	2025	0.00	
Tondela	94	2025	0.00	
FC Porto	94	2025	0.00	
Lusitânia Lourosa	95	2025	0.00	
Portimonense	95	2025	0.00	
Feirense	95	2025	0.00	
Academico Viseu	95	2025	0.00	
Chaves	95	2025	0.00	
Pacos Ferreira	95	2025	0.00	
Celtic	179	2025	0.00	
Heart Of Midlothian	179	2025	0.00	
Elche	140	2025	0.00	
Girona	140	2025	0.00	
Valencia	140	2025	0.00	
Sevilla	140	2025	0.00	
Espanyol	140	2025	0.00	
Rayo Vallecano	140	2025	0.00	
Celta Vigo	140	2025	0.00	
Cadiz	141	2025	0.00	
