TSV:	2026-03-30	00:00	primera división paraguay	Club Guarani (—) vs Sportivo Trinidense (4)	Over 15 (FT)	3.0	MOYEN PLUS [R:—-4]	1.36

TSV:	2026-03-30	00:30	serie a brazil	Atletico Paranaense (—) vs Botafogo (6)	Over 15 (FT)	6.0	TRÈS FORT [R:—-6]	1.38

TSV:	2026-03-30	01:20	primera a colombia	Deportivo Pasto (17) vs Atletico Nacional (3)	Over 15 (FT)	5.0	FORT PLUS [R:17-3]	1.33

TSV:	2026-03-30	03:30	primera a colombia	Llaneros (13) vs Once Caldas (11)	Over 15 (FT)	3.0	MOYEN PLUS [R:13-11]	1.25

TSV:	2026-03-30	11:00	international friendlies	Slovakia U18 (—) vs Serbia U18 (—)	Over 15 (FT)	4.0	FORT [R:—-—]	—
TSV:	2026-03-30	11:00	international friendlies	Uzbekistan U19 (—) vs Japan U19 (—)	Over 15 (FT)	4.0	FORT [R:—-—]	—

TSV:	2026-03-30	14:00	international friendlies	Russia U21 (—) vs Jordan U23 (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	1.25
TSV:	2026-03-30	14:00	international friendlies	United Arab Emirates (—) vs Faroe Islands (—)	Over 15 (FT)	3.0	MOYEN PLUS [R:—-—]	—

TSV:	2026-03-30	14:30	international friendlies	Albania U21 (—) vs Uzbekistan U23 (—)	Over 15 (FT)	5.0	FORT PLUS [R:—-—]	—

TSV:	2026-03-30	17:00	international friendlies	Kyrgyz Republic U20 (—) vs Bosnia-Herzegovina U17 (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—
TSV:	2026-03-30	17:00	international friendlies	Mexico U20 (—) vs Costa Rica U20 (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	—

TSV:	2026-03-30	18:00	international friendlies	Cyprus (—) vs Moldova (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	1.28

TSV:	2026-03-30	18:30	international friendlies	Netherlands U21 (—) vs Belgium U21 (—)	Over 15 (FT)	8.0	MEGA EXPLOSION [R:—-—]	1.18
