O25_RANDOM_POOL_BASE — PLAYABLE PICKS GLOBAL
==========================================
Format TSV:
date	match_id	bet_family	time	league	home	away	odd	fixture_id	pipeline	source

# ------------------------------------------------------------------
# APPEND O25_RANDOM_POOL_BASE | 2026-04-18 14:59:59 | run_date=ALL | source=predictions.tsv
# ------------------------------------------------------------------
TSV: 2026-04-18	2688279000	O25_FT	02:30	liga pro ecuador	Emelec	Guayaquil City FC	2.25	1519320	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2885012790	O25_FT	03:00	liga mx	Mazatlán	Club Queretaro	1.83	1492590	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	4170645307	O25_FT	03:00	liga mx	Atletico San Luis	U.N.A.M. - Pumas	1.7	1492589	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1604647330	O25_FT	04:30	mls	Vancouver Whitecaps	Sporting Kansas City	1.28	1490210	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2112604358	O25_FT	11:00	russian premier league	FC Orenburg	Lokomotiv	1.63	1400230	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	32726374	O25_FT	12:00	ukrainian premier league	Kolos Kovalivka	LNZ Cherkasy	2.75	1396800	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	10376575	O25_FT	12:00	liga portugal 2	Pacos Ferreira	Chaves	2.25	1398234	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	4170081620	O25_FT	13:00	2. bundesliga	Arminia Bielefeld	1. FC Nürnberg	1.7	1388875	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	332576917	O25_FT	13:00	2. bundesliga	Dynamo Dresden	VfL Bochum	1.65	1388883	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	351311415	O25_FT	13:00	2. bundesliga	1. FC Magdeburg	Fortuna Düsseldorf	1.5	1388881	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3456989505	O25_FT	13:30	championship	Portsmouth	Leicester	2.1	1387065	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2412169001	O25_FT	13:30	championship	Derby	Oxford United	2	1387059	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1488779025	O25_FT	13:30	liga i romania	Csikszereda	Unirea Slobozia	2	1531522	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2078898265	O25_FT	13:30	super lig	Fatih Karagümrük	Eyüpspor	2	1394698	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3707484018	O25_FT	13:30	russian premier league	Krylia Sovetov	CSKA Moscow	1.86	1400226	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	271721	O25_FT	13:30	championship	Millwall	QPR	1.8	1387063	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	415418199	O25_FT	13:30	premier league	Brentford	Fulham	1.73	1379290	O25_RANDOM_POOL_BASE	predictions.tsv
