[optimizer] datasets retenus: 60
[optimizer] période: 2026-01-02 -> 2026-03-26
[optimizer] split chrono: train=48 jours | valid=12 jours
[optimizer] trials demandés: 5000
[optimizer] Recherche focalisée : 2499 essais autour de 10 top profils + 2500 aléatoires
[optimizer] jobs parallèles: 6
/usr/local/Cellar/python@3.11/3.11.14_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 5 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
ne) | best=132.9243 | 1.4min écoulées | ETA ~23.3h
[optimizer] 6/5000 | best=132.9243 | 1.4min écoulées | ETA ~19.6h
[optimizer] 7/5000 | best=132.9243 | 1.5min écoulées | ETA ~18.0h
[optimizer] 8/5000 | best=132.9243 | 1.9min écoulées | ETA ~19.6h
[optimizer] 9/5000 | best=132.9243 | 2.0min écoulées | ETA ~18.3h
[optimizer] 10/5000 | best=148.1133 | 2.1min écoulées | ETA ~17.2h
[optimizer] 11/5000 | best=148.1133 | 2.5min écoulées | ETA ~18.7h
[optimizer] 12/5000 | best=148.1133 | 2.6min écoulées | ETA ~18.0h
[optimizer] 13/5000 | best=148.1133 | 2.8min écoulées | ETA ~17.6h
[optimizer] 14/5000 | best=148.1133 | 2.8min écoulées | ETA ~16.4h
[optimizer] 15/5000 | best=148.1133 | 2.9min écoulées | ETA ~16.1h
[optimizer] 16/5000 | best=148.1133 | 3.8min écoulées | ETA ~19.7h
[optimizer] 17/5000 | best=148.1133 | 3.9min écoulées | ETA ~19.0h
[optimizer] 18/5000 | best=148.1133 | 4.1min écoulées | ETA ~18.9h
[optimizer] 19/5000 | best=148.1133 | 4.1min écoulées | ETA ~18.1h
[optimizer] 20/5000 | best=148.1133 | 4.2min écoulées | ETA ~17.5h
[optimizer] 21/5000 | best=148.1133 | 4.5min écoulées | ETA ~17.6h
[optimizer] 22/5000 | best=148.1133 | 4.5min écoulées | ETA ~17.0h
[optimizer] 23/5000 | best=148.1133 | 5.1min écoulées | ETA ~18.3h
[optimizer] 24/5000 | best=148.1133 | 5.3min écoulées | ETA ~18.4h
[optimizer] 25/5000 | best=148.1133 | 5.3min écoulées | ETA ~17.7h
[optimizer] 26/5000 | best=148.1133 | 5.4min écoulées | ETA ~17.3h
[optimizer] 27/5000 | best=148.1133 | 6.1min écoulées | ETA ~18.6h
[optimizer] 28/5000 | best=148.1133 | 6.2min écoulées | ETA ~18.4h
[optimizer] 29/5000 | best=148.1133 | 6.3min écoulées | ETA ~18.0h
[optimizer] 30/5000 | best=148.1133 | 6.6min écoulées | ETA ~18.2h
[optimizer] 31/5000 | best=148.1133 | 7.0min écoulées | ETA ~18.7h
[optimizer] 32/5000 | best=148.1133 | 7.0min écoulées | ETA ~18.2h
[optimizer] 33/5000 | best=148.1133 | 7.4min écoulées | ETA ~18.7h
[optimizer] 34/5000 | best=148.1133 | 7.6min écoulées | ETA ~18.5h
[optimizer] 35/5000 | best=148.1133 | 7.8min écoulées | ETA ~18.5h
[optimizer] 36/5000 | best=148.1133 | 8.2min écoulées | ETA ~18.8h
[optimizer] 37/5000 | best=148.1133 | 8.2min écoulées | ETA ~18.4h
[optimizer] 38/5000 | best=148.1133 | 8.2min écoulées | ETA ~17.9h
[optimizer] 39/5000 | best=148.1133 | 8.9min écoulées | ETA ~19.0h
[optimizer] 40/5000 | best=148.1133 | 9.1min écoulées | ETA ~18.7h
[optimizer] 41/5000 | best=148.1133 | 9.1min écoulées | ETA ~18.3h
[optimizer] 42/5000 | best=148.1133 | 9.1min écoulées | ETA ~17.9h
[optimizer] 43/5000 | best=148.1133 | 9.3min écoulées | ETA ~17.8h
[optimizer] 44/5000 | best=148.1133 | 9.6min écoulées | ETA ~18.1h
[optimizer] 45/5000 | best=148.1133 | 9.8min écoulées | ETA ~18.0h
[optimizer] 46/5000 | best=148.1133 | 10.1min écoulées | ETA ~18.1h
[optimizer] 47/5000 | best=148.1133 | 10.2min écoulées | ETA ~17.8h
[optimizer] 48/5000 | best=148.1133 | 10.3min écoulées | ETA ~17.7h
[optimizer] 49/5000 | best=148.1133 | 10.4min écoulées | ETA ~17.6h
[optimizer] 50/5000 | best=148.1133 | 10.8min écoulées | ETA ~17.8h
[optimizer] 51/5000 | best=148.1133 | 10.8min écoulées | ETA ~17.5h
[optimizer] 52/5000 | best=148.1133 | 11.6min écoulées | ETA ~18.5h
[optimizer] 53/5000 | best=148.1133 | 11.7min écoulées | ETA ~18.2h
[optimizer] 54/5000 | best=148.1133 | 11.8min écoulées | ETA ~18.0h
[optimizer] 55/5000 | best=148.1133 | 11.8min écoulées | ETA ~17.7h
[optimizer] 56/5000 | best=148.1133 | 11.8min écoulées | ETA ~17.4h
[optimizer] 57/5000 | best=148.1133 | 12.3min écoulées | ETA ~17.8h
[optimizer] 58/5000 | best=148.1133 | 12.3min écoulées | ETA ~17.5h
[optimizer] 59/5000 | best=148.1133 | 12.7min écoulées | ETA ~17.7h
[optimizer] 60/5000 | best=148.1133 | 12.8min écoulées | ETA ~17.6h
[optimizer] 61/5000 | best=148.1133 | 13.3min écoulées | ETA ~17.9h
[optimizer] 62/5000 | best=148.1133 | 13.3min écoulées | ETA ~17.7h
[optimizer] 63/5000 | best=148.1133 | 13.4min écoulées | ETA ~17.5h
[optimizer] 64/5000 | best=148.1133 | 13.8min écoulées | ETA ~17.8h
[optimizer] 65/5000 | best=148.1133 | 14.1min écoulées | ETA ~17.8h
[optimizer] 66/5000 | best=148.1133 | 14.1min écoulées | ETA ~17.6h
[optimizer] 67/5000 | best=148.1133 | 14.3min écoulées | ETA ~17.6h
[optimizer] 68/5000 | best=148.1133 | 14.6min écoulées | ETA ~17.6h
[optimizer] 69/5000 | best=148.1133 | 14.6min écoulées | ETA ~17.4h
[optimizer] 70/5000 | best=148.1133 | 14.7min écoulées | ETA ~17.2h
[optimizer] 71/5000 | best=148.1133 | 14.8min écoulées | ETA ~17.1h
[optimizer] 72/5000 | best=148.1133 | 15.4min écoulées | ETA ~17.5h
[optimizer] 73/5000 | best=148.1133 | 15.5min écoulées | ETA ~17.4h
[optimizer] 74/5000 | best=148.1133 | 15.6min écoulées | ETA ~17.3h
[optimizer] 75/5000 | best=148.1133 | 15.6min écoulées | ETA ~17.1h
