   # │ Jour       │         RAND SAFE(3)         │         RAND NORM(4)         │         SYS SAFE(4)          │         SYS NORM(4)          │      Rés
   1 │ 01-15      │ ❌      14€ →       86€ │ ❌       7€ →       93€ │ ✅       7€ →      111€ │ ✅       7€ →      111€ │    6514€
   2 │ 01-16      │ ✅      29€ →      128€ │ ✅      13€ →      113€ │ ❌       7€ →      103€ │ ❌       7€ →      103€ │    6514€
   3 │ 01-20      │ ✅      18€ →      157€ │ ✅       8€ →      125€ │ ❌      15€ →       89€ │ ❌      15€ →       89€ │    6514€
   4 │ 01-21      │ ✅      22€ →      190€ │ ✅       8€ →      137€ │ ❌      30€ →       59€ │ ❌      30€ →       59€ │    6514€
   5 │ 01-22      │ ✅      27€ →     1430€ 💰 │ ✅       9€ →      153€ │ ✅      59€ →      199€ │ ✅      59€ →      199€ │    6651€
   6 │ 01-23      │ ✅     204€ →     1732€ │ ✅      10€ →      168€ │ ❌      13€ →      186€ │ ❌      13€ →      186€ │    6651€
   7 │ 01-24      │ ✅     247€ →     2103€ │ ✅      11€ →      185€ │ ✅      27€ →     1455€ 💰 │ ✅      27€ →      224€ │    6775€
   8 │ 01-24      │ ✅     300€ →     2525€ │ ✅      12€ →      202€ │ ❌      97€ →     1358€ │ ❌      15€ →      209€ │    6775€
   9 │ 01-24      │ ✅     361€ →     1784€ 💰 │ ✅      13€ →      223€ │ ✅     194€ →     1633€ │ ✅      30€ →      251€ │    8422€
  10 │ 01-25      │ ✅     255€ →     2180€ │ ✅      15€ →      246€ │ ✅     109€ →     1818€ │ ✅      17€ →      280€ │    8422€
  11 │ 01-25      │ ❌     311€ →     1869€ │ ❌      16€ →      230€ │ ❌     121€ →     1697€ │ ❌      19€ →      261€ │    8422€
  12 │ 01-25      │ ✅     623€ →     2831€ │ ✅      33€ →      280€ │ ✅     242€ →     2055€ │ ✅      37€ →      316€ │    8422€
  13 │ 01-26      │ ✅     404€ →     3459€ │ ✅      19€ →      309€ │ ❌     137€ →     1918€ │ ❌      21€ →      295€ │    8422€
  14 │ 01-28      │ ✅     494€ →     2278€ 💰 │ ✅      21€ →      342€ │ ✅     274€ →     2354€ │ ✅      42€ →      362€ │   10891€
