# date | league | home vs away | reason
2026-03-17 | primera a colombia | Bucaramanga vs Once Caldas | FIXTURE_NOT_FOUND_ROBUST
2026-03-27 | international friendlies | Russia vs Mali | FIXTURE_NOT_FOUND_ROBUST
2026-03-28 | international friendlies | England U18 vs Spain U18 | FIXTURE_NOT_FOUND_ROBUST
2026-03-31 | international friendlies | Croatia U18 vs England U18 | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | 2. bundesliga | Arminia Bielefeld vs Preußen Münster | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | 2. bundesliga | Dynamo Dresden vs Fortuna Düsseldorf | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | 2. bundesliga | SV Elversberg vs SV Darmstadt 98 | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | austrian bundesliga | SCR Altach vs Red Bull Salzburg | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | austrian bundesliga | TSV Hartberg vs Sturm Graz | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | austrian bundesliga | Lask Linz vs Rapid Vienna | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | bundesliga | Hamburger SV vs VfB Stuttgart | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | bundesliga | Eintracht Frankfurt vs VfL Wolfsburg | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | bundesliga | SC Freiburg vs FSV Mainz 05 | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | coupe de france | Avranches vs Aubervilliers | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | coupe de france | MJEP Cormontreuil vs Chantilly | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | coupe de france | Saint-Cyr Collonges vs Rhone-Vallee | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | coupe de france | Les Sables-d'Olonne vs Plouvorn | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | coupe de france | UF Touraine vs Estac Troyes | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | czech first league | Bohemians 1905 vs Teplice | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | czech first league | Plzen vs Mlada Boleslav | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | czech first league | Slovan Liberec vs Sigma Olomouc | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | czech first league | Sparta Praha vs Pardubice | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | ekstraklasa | Arka Gdynia vs Raków Częstochowa | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | ekstraklasa | Zaglebie Lubin vs Jagiellonia | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | ekstraklasa | Wisla Plock vs Lech Poznan | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | eliteserien | Bodo/Glimt vs Fredrikstad | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | eliteserien | Brann vs Ham-Kam | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | eliteserien | Haugesund vs Bryne | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | eliteserien | Kristiansund BK vs Tromso | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | eliteserien | Rosenborg vs Stromsgodset | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | eliteserien | Sandefjord vs KFUM Oslo | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | eliteserien | Sarpsborg 08 FF vs Molde | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | eliteserien | Viking vs Valerenga | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | eredivisie | PSV Eindhoven vs FC Volendam | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | eredivisie | GO Ahead Eagles vs Utrecht | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | eredivisie | Telstar vs Feyenoord | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | eredivisie | Twente vs AZ Alkmaar | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | hnl croatia | NK Lokomotiva Zagreb vs HNK Rijeka | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | j1 league | Albirex Niigata vs Kashiwa Reysol | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | j1 league | Avispa Fukuoka vs Gamba Osaka | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | j1 league | Fagiano Okayama vs Urawa | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | j1 league | Kawasaki Frontale vs Sanfrecce Hiroshima | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | j1 league | Machida Zelvia vs Nagoya Grampus | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | j1 league | Shonan Bellmare vs Shimizu S-pulse | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | j1 league | Tokyo Verdy vs Kashima | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | j1 league | Vissel Kobe vs FC Tokyo | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | j1 league | Yokohama F. Marinos vs Cerezo Osaka | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | j1 league | Yokohama FC vs Kyoto Sanga | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | k league 1 | Daegu FC vs FC Anyang | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | k league 1 | Suwon City FC vs Gwangju FC | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | k league 1 | Ulsan Hyundai FC vs Jeju United FC | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | k league 1 | Gangwon FC vs Pohang Steelers | FIXTURE_NOT_FOUND_ROBUST
