# league	team	bet_key	samples	success	fail	base_rate	matches	ht_matches	avg_goals_for	avg_goals_against	avg_goals_total	avg_ht_goals_for	avg_ht_goals_against	avg_ht_goals_total	goals_for_0	goals_for_1	goals_for_2	goals_for_3_plus	total_0	total_1	total_2	total_3	total_4_plus	rate_scored	rate_conceded	rate_clean_sheet	rate_failed_to_score	rate_win	rate_draw	rate_loss	rate_o15_match	rate_o25_match	rate_o35_match	rate_exact_2_match	rate_exact_3_match	rate_ht05_match	rate_ht15_match	rate_ht_lead	rate_ht_draw	rate_ht_trail	rate_ht1x	goals_score	composite_score
bundesliga	Bayern München	O15_FT	12	12	0	1.000000	12	12	3.500000	1.166667	4.666667	1.333333	0.583333	1.916667	0	2	1	9	0	0	1	2	9	1.000000	0.833333	0.166667	0.000000	0.750000	0.166667	0.083333	1.000000	0.916667	0.750000	0.083333	0.166667	1.000000	0.666667	0.583333	0.166667	0.250000	0.750000	1.000000	1.000000
bundesliga	Borussia Dortmund	O15_FT	12	12	0	1.000000	12	12	2.666667	1.333333	4.000000	1.000000	0.500000	1.500000	0	0	5	7	0	0	1	4	7	1.000000	0.666667	0.333333	0.000000	0.750000	0.166667	0.083333	1.000000	0.916667	0.583333	0.083333	0.333333	1.000000	0.416667	0.666667	0.166667	0.166667	0.833333	1.000000	1.000000
super league switzerland	BSC Young Boys	O15_FT	12	12	0	1.000000	12	12	1.916667	1.500000	3.416667	0.583333	0.500000	1.083333	0	7	2	3	0	0	3	5	4	1.000000	0.750000	0.250000	0.000000	0.416667	0.166667	0.416667	1.000000	0.750000	0.333333	0.250000	0.416667	0.750000	0.250000	0.500000	0.250000	0.250000	0.750000	1.000000	1.000000
eredivisie	Fortuna Sittard	O15_FT	11	11	0	1.000000	11	11	1.636364	2.090909	3.727273	1.181818	1.000000	2.181818	0	5	5	1	0	0	0	6	5	1.000000	1.000000	0.000000	0.000000	0.363636	0.181818	0.454545	1.000000	1.000000	0.454545	0.000000	0.545455	1.000000	0.727273	0.454545	0.272727	0.272727	0.727273	1.000000	1.000000
eredivisie	NEC Nijmegen	O15_FT	11	11	0	1.000000	11	11	2.363636	1.636364	4.000000	1.090909	1.000000	2.090909	0	3	3	5	0	0	2	2	7	1.000000	0.909091	0.090909	0.000000	0.545455	0.272727	0.181818	1.000000	0.818182	0.636364	0.181818	0.181818	0.909091	0.727273	0.454545	0.272727	0.272727	0.727273	1.000000	1.000000
eredivisie	PSV Eindhoven	O15_FT	11	11	0	1.000000	11	11	2.363636	1.454545	3.818182	1.363636	0.909091	2.272727	0	2	5	4	0	0	0	5	6	1.000000	0.909091	0.090909	0.000000	0.636364	0.090909	0.272727	1.000000	1.000000	0.545455	0.000000	0.454545	0.909091	0.727273	0.272727	0.363636	0.363636	0.636364	1.000000	1.000000
liga portugal	SC Braga	O15_FT	9	9	0	1.000000	9	9	2.666667	1.333333	4.000000	1.444444	0.444444	1.888889	0	2	2	5	0	0	0	4	5	1.000000	0.666667	0.333333	0.000000	0.555556	0.222222	0.222222	1.000000	1.000000	0.555556	0.000000	0.444444	0.888889	0.555556	0.666667	0.222222	0.111111	0.888889	1.000000	1.000000
primera a colombia	Once Caldas	O15_FT	9	9	0	1.000000	9	9	2.111111	1.333333	3.444444	1.000000	0.444444	1.444444	0	4	2	3	0	0	4	2	3	1.000000	0.777778	0.222222	0.000000	0.555556	0.333333	0.111111	1.000000	0.555556	0.333333	0.444444	0.222222	0.777778	0.555556	0.444444	0.444444	0.111111	0.888889	1.000000	1.000000
serie a brazil	Palmeiras	HT05	8	8	0	1.000000	8	8	2.000000	0.625000	2.625000	1.375000	0.375000	1.750000	0	4	2	2	0	4	0	1	3	1.000000	0.500000	0.500000	0.000000	0.875000	0.125000	0.000000	0.500000	0.500000	0.375000	0.000000	0.125000	1.000000	0.500000	0.750000	0.250000	0.000000	1.000000	1.000000	1.000000
bundesliga	Borussia Dortmund	TEAM1_SCORE_FT	7	7	0	1.000000	7	7	2.857143	1.285714	4.142857	1.142857	0.428571	1.571429	0	0	2	5	0	0	1	1	5	1.000000	0.571429	0.428571	0.000000	0.857143	0.000000	0.142857	1.000000	0.857143	0.714286	0.142857	0.142857	1.000000	0.428571	0.714286	0.142857	0.142857	0.857143	1.000000	1.000000
