# league	team	bet_key	matches	ht_matches	avg_goals_for	avg_goals_against	avg_goals_total	avg_ht_goals_for	avg_ht_goals_against	avg_ht_goals_total	goals_for_0	goals_for_1	goals_for_2	goals_for_3_plus	total_0	total_1	total_2	total_3	total_4_plus	rate_scored	rate_conceded	rate_clean_sheet	rate_failed_to_score	rate_win	rate_draw	rate_loss	rate_o15_match	rate_o25_match	rate_o35_match	rate_exact_2_match	rate_exact_3_match	rate_ht05_match	rate_ht15_match	rate_ht_lead	rate_ht_draw	rate_ht_trail	rate_ht1x	goals_score
bundesliga	Bayern München	O15_FT	17	17	3.705882	1.235294	4.941176	1.352941	0.647059	2.000000	0	2	1	14	0	0	1	2	14	1.000000	0.823529	0.176471	0.000000	0.823529	0.117647	0.058824	1.000000	0.941176	0.823529	0.058824	0.117647	0.941176	0.647059	0.529412	0.294118	0.176471	0.823529	1.000000
eredivisie	NEC Nijmegen	O15_FT	15	15	2.400000	1.466667	3.866667	1.066667	0.866667	1.933333	0	4	4	7	0	0	4	2	9	1.000000	0.866667	0.133333	0.000000	0.600000	0.266667	0.133333	1.000000	0.733333	0.600000	0.266667	0.133333	0.933333	0.666667	0.466667	0.266667	0.266667	0.733333	1.000000
super league switzerland	BSC Young Boys	O15_FT	15	15	2.133333	1.466667	3.600000	0.800000	0.533333	1.333333	0	8	2	5	0	0	4	5	6	1.000000	0.733333	0.266667	0.000000	0.400000	0.266667	0.333333	1.000000	0.733333	0.400000	0.266667	0.333333	0.733333	0.333333	0.466667	0.266667	0.266667	0.733333	1.000000
laliga	Barcelona	TEAM1_WIN_FT	10	10	3.100000	0.500000	3.600000	1.600000	0.200000	1.800000	0	2	0	8	0	2	0	3	5	1.000000	0.400000	0.600000	0.000000	1.000000	0.000000	0.000000	0.800000	0.800000	0.500000	0.000000	0.300000	0.900000	0.600000	0.900000	0.100000	0.000000	1.000000	1.000000
saudi arabia	Al-Ahli Jeddah	TEAM1_SCORE_FT	10	10	2.900000	0.700000	3.600000	0.900000	0.500000	1.400000	0	0	4	6	0	0	2	3	5	1.000000	0.600000	0.400000	0.000000	1.000000	0.000000	0.000000	1.000000	0.800000	0.500000	0.200000	0.300000	0.900000	0.300000	0.500000	0.200000	0.300000	0.700000	1.000000
saudi arabia	Al-Ahli Jeddah	TEAM1_WIN_FT	10	10	2.900000	0.700000	3.600000	0.900000	0.500000	1.400000	0	0	4	6	0	0	2	3	5	1.000000	0.600000	0.400000	0.000000	1.000000	0.000000	0.000000	1.000000	0.800000	0.500000	0.200000	0.300000	0.900000	0.300000	0.500000	0.200000	0.300000	0.700000	1.000000
super league switzerland	FC Luzern	TEAM1_SCORE_FT	10	10	2.300000	2.300000	4.600000	1.100000	1.000000	2.100000	0	3	4	3	0	0	0	2	8	1.000000	0.900000	0.100000	0.000000	0.300000	0.300000	0.400000	1.000000	1.000000	0.800000	0.000000	0.200000	0.900000	0.700000	0.300000	0.400000	0.300000	0.700000	1.000000
bundesliga	Bayern München	HT1X_HOME	9	9	4.222222	1.333333	5.555556	2.000000	0.666667	2.666667	0	1	0	8	0	0	0	1	8	1.000000	0.888889	0.111111	0.000000	0.888889	0.000000	0.111111	1.000000	1.000000	0.888889	0.000000	0.111111	1.000000	0.888889	0.777778	0.222222	0.000000	1.000000	1.000000
bundesliga	Bayern München	TEAM1_SCORE_FT	9	9	4.222222	1.333333	5.555556	2.000000	0.666667	2.666667	0	1	0	8	0	0	0	1	8	1.000000	0.888889	0.111111	0.000000	0.888889	0.000000	0.111111	1.000000	1.000000	0.888889	0.000000	0.111111	1.000000	0.888889	0.777778	0.222222	0.000000	1.000000	1.000000
laliga2	Castellón	TEAM1_SCORE_FT	9	9	2.222222	0.888889	3.111111	1.222222	0.555556	1.777778	0	2	4	3	0	0	5	0	4	1.000000	0.555556	0.444444	0.000000	0.777778	0.111111	0.111111	1.000000	0.444444	0.444444	0.555556	0.000000	0.888889	0.555556	0.666667	0.222222	0.111111	0.888889	1.000000
