# league	team	bet_key	samples	success	fail	success_rate	matches	ht_matches	avg_goals_for	avg_goals_against	avg_goals_total	avg_ht_goals_for	avg_ht_goals_against	avg_ht_goals_total	goals_for_0	goals_for_1	goals_for_2	goals_for_3_plus	total_0	total_1	total_2	total_3	total_4_plus	rate_scored	rate_conceded	rate_clean_sheet	rate_failed_to_score	rate_win	rate_draw	rate_loss	rate_o15_match	rate_o25_match	rate_o35_match	rate_exact_2_match	rate_exact_3_match	rate_ht05_match	rate_ht15_match	rate_ht_lead	rate_ht_draw	rate_ht_trail	rate_ht1x
saudi arabia	Al-Hazm	O15_FT	14	14	0	1.000000	14	14	1.285714	1.928571	3.214286	0.357143	0.642857	1.000000	4	4	4	2	0	0	3	6	5	0.714286	1.000000	0.000000	0.285714	0.357143	0.214286	0.428571	1.000000	0.785714	0.357143	0.214286	0.428571	0.571429	0.357143	0.142857	0.571429	0.285714	0.714286
serie b	Mantova	HT05	14	14	0	1.000000	14	14	1.500000	1.500000	3.000000	0.714286	0.857143	1.571429	2	4	7	1	0	1	4	6	3	0.857143	0.857143	0.142857	0.142857	0.357143	0.285714	0.357143	0.928571	0.642857	0.214286	0.285714	0.428571	1.000000	0.500000	0.357143	0.142857	0.500000	0.500000
laliga2	Cordoba	HT05	13	13	0	1.000000	13	13	1.538462	2.076923	3.615385	0.769231	1.384615	2.153846	3	2	6	2	0	0	3	4	6	0.769231	0.923077	0.076923	0.230769	0.384615	0.076923	0.538462	1.000000	0.769231	0.461538	0.230769	0.307692	1.000000	0.769231	0.307692	0.230769	0.461538	0.538462
laliga2	Cordoba	O15_FT	13	13	0	1.000000	13	13	1.538462	2.076923	3.615385	0.769231	1.384615	2.153846	3	2	6	2	0	0	3	4	6	0.769231	0.923077	0.076923	0.230769	0.384615	0.076923	0.538462	1.000000	0.769231	0.461538	0.230769	0.307692	1.000000	0.769231	0.307692	0.230769	0.461538	0.538462
super league switzerland	FC Winterthur	O15_FT	13	13	0	1.000000	13	13	0.846154	2.461538	3.307692	0.384615	0.769231	1.153846	4	7	2	0	0	0	5	5	3	0.692308	1.000000	0.000000	0.307692	0.153846	0.230769	0.615385	1.000000	0.615385	0.230769	0.384615	0.384615	0.692308	0.307692	0.307692	0.307692	0.384615	0.615385
bundesliga	Bayern München	HT05	12	12	0	1.000000	12	12	3.500000	1.166667	4.666667	1.333333	0.583333	1.916667	0	2	1	9	0	0	1	2	9	1.000000	0.833333	0.166667	0.000000	0.750000	0.166667	0.083333	1.000000	0.916667	0.750000	0.083333	0.166667	1.000000	0.666667	0.583333	0.166667	0.250000	0.750000
bundesliga	Bayern München	O15_FT	12	12	0	1.000000	12	12	3.500000	1.166667	4.666667	1.333333	0.583333	1.916667	0	2	1	9	0	0	1	2	9	1.000000	0.833333	0.166667	0.000000	0.750000	0.166667	0.083333	1.000000	0.916667	0.750000	0.083333	0.166667	1.000000	0.666667	0.583333	0.166667	0.250000	0.750000
bundesliga	Borussia Dortmund	HT05	12	12	0	1.000000	12	12	2.666667	1.333333	4.000000	1.000000	0.500000	1.500000	0	0	5	7	0	0	1	4	7	1.000000	0.666667	0.333333	0.000000	0.750000	0.166667	0.083333	1.000000	0.916667	0.583333	0.083333	0.333333	1.000000	0.416667	0.666667	0.166667	0.166667	0.833333
bundesliga	Borussia Dortmund	O15_FT	12	12	0	1.000000	12	12	2.666667	1.333333	4.000000	1.000000	0.500000	1.500000	0	0	5	7	0	0	1	4	7	1.000000	0.666667	0.333333	0.000000	0.750000	0.166667	0.083333	1.000000	0.916667	0.583333	0.083333	0.333333	1.000000	0.416667	0.666667	0.166667	0.166667	0.833333
bundesliga	FSV Mainz 05	O15_FT	12	12	0	1.000000	12	12	1.666667	1.333333	3.000000	0.750000	0.500000	1.250000	1	3	7	1	0	0	4	4	4	0.916667	0.833333	0.166667	0.083333	0.500000	0.333333	0.166667	1.000000	0.666667	0.333333	0.333333	0.333333	0.916667	0.250000	0.583333	0.250000	0.166667	0.833333
laliga	Espanyol	O15_FT	12	12	0	1.000000	12	12	1.166667	2.250000	3.416667	0.416667	0.916667	1.333333	2	6	4	0	0	0	4	3	5	0.833333	1.000000	0.000000	0.166667	0.000000	0.333333	0.666667	1.000000	0.666667	0.416667	0.333333	0.250000	0.833333	0.500000	0.083333	0.500000	0.416667	0.583333
primera a colombia	Fortaleza FC	O15_FT	12	12	0	1.000000	12	12	1.250000	1.833333	3.083333	0.333333	0.916667	1.250000	1	7	4	0	0	0	5	4	3	0.916667	1.000000	0.000000	0.083333	0.166667	0.416667	0.416667	1.000000	0.583333	0.250000	0.416667	0.333333	0.833333	0.333333	0.000000	0.416667	0.583333	0.416667
super league switzerland	BSC Young Boys	O15_FT	12	12	0	1.000000	12	12	1.916667	1.500000	3.416667	0.583333	0.500000	1.083333	0	7	2	3	0	0	3	5	4	1.000000	0.750000	0.250000	0.000000	0.416667	0.166667	0.416667	1.000000	0.750000	0.333333	0.250000	0.416667	0.750000	0.250000	0.500000	0.250000	0.250000	0.750000
