league	bet_key	decided	wins	losses	win_rate	eligible
eredivisie	TEAM1_SCORE_FT	17	17	0	1.0	True
bundesliga	TEAM1_SCORE_FT	11	11	0	1.0	False
eredivisie	TEAM2_SCORE_FT	11	11	0	1.0	False
liga portugal	TEAM1_SCORE_FT	10	10	0	1.0	False
liga mx	TEAM2_SCORE_FT	6	6	0	1.0	False
serie a italia	TEAM1_SCORE_FT	5	5	0	1.0	False
taça de portugal	HT05	5	5	0	1.0	False
belgian cup	HT05	4	4	0	1.0	False
cymru premier league	TEAM1_SCORE_FT	4	4	0	1.0	False
cymru premier league	TEAM2_SCORE_FT	4	4	0	1.0	False
liga portugal	TEAM2_SCORE_FT	4	4	0	1.0	False
liga pro ecuador	HT1X_HOME	4	4	0	1.0	False
mls	TEAM1_SCORE_FT	4	4	0	1.0	False
primera a colombia	TEAM1_SCORE_FT	4	4	0	1.0	False
schweizer cup	HT05	4	4	0	1.0	False
schweizer cup	O15_FT	4	4	0	1.0	False
superligaen	TEAM2_SCORE_FT	4	4	0	1.0	False
bundesliga	O25_FT	3	3	0	1.0	False
dfb pokal	HT1X_HOME	3	3	0	1.0	False
dfb pokal	O15_FT	3	3	0	1.0	False
fa cup	TEAM1_SCORE_FT	3	3	0	1.0	False
premiership	TEAM1_SCORE_FT	3	3	0	1.0	False
saudi arabia	O25_FT	3	3	0	1.0	False
super lig	TEAM1_SCORE_FT	3	3	0	1.0	False
2. bundesliga	TEAM2_SCORE_FT	2	2	0	1.0	False
copa del rey	TEAM2_SCORE_FT	2	2	0	1.0	False
coupe de france	O25_FT	2	2	0	1.0	False
cymru premier league	TEAM2_WIN_FT	2	2	0	1.0	False
czech first league	TEAM2_SCORE_FT	2	2	0	1.0	False
fa cup	TEAM1_WIN_FT	2	2	0	1.0	False
laliga	TEAM1_WIN_FT	2	2	0	1.0	False
ligue 1	TEAM1_WIN_FT	2	2	0	1.0	False
ligue 2	TEAM2_SCORE_FT	2	2	0	1.0	False
serie b	TEAM2_SCORE_FT	2	2	0	1.0	False
2. bundesliga	TEAM1_SCORE_FT	1	1	0	1.0	False
belgian cup	O25_FT	1	1	0	1.0	False
championship	O25_FT	1	1	0	1.0	False
championship	TEAM2_WIN_FT	1	1	0	1.0	False
coupe de france	TEAM1_WIN_FT	1	1	0	1.0	False
czech first league	TEAM1_SCORE_FT	1	1	0	1.0	False
czech first league	TEAM2_WIN_FT	1	1	0	1.0	False
eredivisie	TEAM2_WIN_FT	1	1	0	1.0	False
fa cup	TEAM2_SCORE_FT	1	1	0	1.0	False
laliga2	TEAM1_SCORE_FT	1	1	0	1.0	False
