team	bet_key	decided	wins	losses	win_rate	eligible	team_weight_rank	team_weight_cap	team_weight
Barcelona	O15_FT	11	11	0	1.0	False	2.5	1.5	1.5
Borussia Dortmund	O15_FT	11	11	0	1.0	False	2.4971537001897532	1.5	1.5
Al-Fateh	O15_FT	10	10	0	1.0	False	2.4943074003795065	1.5	1.5
Al-Hilal Saudi FC	HT05	10	10	0	1.0	False	2.5	1.5	1.5
Galatasaray	O15_FT	10	10	0	1.0	False	2.4914611005692597	1.5	1.5
Genk	O15_FT	10	10	0	1.0	False	2.4886148007590134	1.5	1.5
Newcastle	O15_FT	10	10	0	1.0	False	2.4857685009487667	1.5	1.5
Al-Hazm	O15_FT	9	9	0	1.0	False	2.48292220113852	1.5	1.5
Bayern München	O15_FT	9	9	0	1.0	False	2.480075901328273	1.5	1.5
Eintracht Frankfurt	O15_FT	9	9	0	1.0	False	2.477229601518027	1.5	1.5
Leicester	O15_FT	9	9	0	1.0	False	2.47438330170778	1.5	1.5
Marseille	O15_FT	9	9	0	1.0	False	2.4715370018975333	1.5	1.5
PSV Eindhoven	O15_FT	9	9	0	1.0	False	2.4686907020872866	1.5	1.5
RB Leipzig	O15_FT	9	9	0	1.0	False	2.46584440227704	1.5	1.5
Tottenham	O15_FT	9	9	0	1.0	False	2.462998102466793	1.5	1.5
Burnley	O15_FT	8	8	0	1.0	False	2.4601518026565463	1.5	1.5
FC Basel 1893	HT05	8	8	0	1.0	False	2.4971537001897532	1.5	1.5
Marseille	HT05	8	8	0	1.0	False	2.4943074003795065	1.5	1.5
1. FC Magdeburg	HT05	7	7	0	1.0	False	2.4914611005692597	1.5	1.5
1. FC Magdeburg	O15_FT	7	7	0	1.0	False	2.4573055028462996	1.5	1.5
1899 Hoffenheim	HT05	7	7	0	1.0	False	2.4886148007590134	1.5	1.5
Alverca	O15_FT	7	7	0	1.0	False	2.454459203036053	1.5	1.5
Başakşehir	O15_FT	7	7	0	1.0	False	2.4516129032258065	1.5	1.5
Club Brugge KV	O15_FT	7	7	0	1.0	False	2.4487666034155597	1.5	1.5
FC Winterthur	O15_FT	7	7	0	1.0	False	2.4459203036053134	1.5	1.5
FC Zurich	O15_FT	7	7	0	1.0	False	2.4430740037950667	1.5	1.5
GIL Vicente	HT05	7	7	0	1.0	False	2.4857685009487667	1.5	1.5
Lorient	O15_FT	7	7	0	1.0	False	2.44022770398482	1.5	1.5
Lyon	HT05	7	7	0	1.0	False	2.48292220113852	1.5	1.5
SC Freiburg	HT1X_HOME	7	7	0	1.0	False	2.5	1.5	1.5
Valencia	O15_FT	7	7	0	1.0	False	2.437381404174573	1.5	1.5
Vizela	HT1X_HOME	7	7	0	1.0	False	2.4969450101832993	1.5	1.5
Almeria	O15_FT	6	6	0	1.0	False	2.4345351043643264	1.5	1.5
Athletic Club	HT1X_HOME	6	6	0	1.0	False	2.4938900203665986	1.5	1.5
Burnley	HT05	6	6	0	1.0	False	2.480075901328273	1.5	1.5
Carrarese	HT1X_HOME	6	6	0	1.0	False	2.4908350305498983	1.5	1.5
Charleroi	O15_FT	6	6	0	1.0	False	2.4316888045540797	1.5	1.5
Club Queretaro	O15_FT	6	6	0	1.0	False	2.428842504743833	1.5	1.5
Cordoba	O15_FT	6	6	0	1.0	False	2.425996204933586	1.5	1.5
Deportivo La Coruna	HT1X_HOME	6	6	0	1.0	False	2.4877800407331976	1.5	1.5
FC Andorra	O15_FT	6	6	0	1.0	False	2.4231499051233394	1.5	1.5
FC Augsburg	HT1X_HOME	6	6	0	1.0	False	2.484725050916497	1.5	1.5
FSV Mainz 05	O15_FT	6	6	0	1.0	False	2.420303605313093	1.5	1.5
Fatih Karagümrük	HT05	6	6	0	1.0	False	2.477229601518027	1.5	1.5
Fortuna Sittard	HT05	6	6	0	1.0	False	2.47438330170778	1.5	1.5
Fortuna Sittard	O15_FT	6	6	0	1.0	False	2.4174573055028463	1.5	1.5
Holstein Kiel	O15_FT	6	6	0	1.0	False	2.4146110056925996	1.5	1.5
Kilmarnock	O15_FT	6	6	0	1.0	False	2.411764705882353	1.5	1.5
Lausanne	O15_FT	6	6	0	1.0	False	2.4089184060721065	1.5	1.5
Mallorca	O15_FT	6	6	0	1.0	False	2.4060721062618597	1.5	1.5
Monza	O15_FT	6	6	0	1.0	False	2.403225806451613	1.5	1.5
Motherwell	O15_FT	6	6	0	1.0	False	2.4003795066413662	1.5	1.5
NEC Nijmegen	TEAM1_SCORE_FT	6	6	0	1.0	False	2.5	1.5	1.5
Padova	HT05	6	6	0	1.0	False	2.4715370018975333	1.5	1.5
Preußen Münster	O15_FT	6	6	0	1.0	False	2.3975332068311195	1.5	1.5
SV Elversberg	O15_FT	6	6	0	1.0	False	2.3946869070208727	1.5	1.5
Sheffield Wednesday	HT1X_HOME	6	6	0	1.0	False	2.4816700610997966	1.5	1.5
Slavia Praha	O15_FT	6	6	0	1.0	False	2.391840607210626	1.5	1.5
Strasbourg	O15_FT	6	6	0	1.0	False	2.3889943074003797	1.5	1.5
Venezia	O15_FT	6	6	0	1.0	False	2.386148007590133	1.5	1.5
VfL Wolfsburg	TEAM1_SCORE_FT	6	6	0	1.0	False	2.4924999999999997	1.5	1.5
1. FC Nürnberg	O15_FT	5	5	0	1.0	False	2.383301707779886	1.5	1.5
AD Ceuta FC	HT1X_HOME	5	5	0	1.0	False	2.4786150712830954	1.5	1.5
Al-Nassr	TEAM2_SCORE_FT	5	5	0	1.0	False	2.5	1.5	1.5
Al-Qadisiyah FC	HT1X_HOME	5	5	0	1.0	False	2.475560081466395	1.5	1.5
Alanyaspor	HT05	5	5	0	1.0	False	2.4686907020872866	1.5	1.5
Arouca	HT05	5	5	0	1.0	False	2.46584440227704	1.5	1.5
Catanzaro	HT1X_HOME	5	5	0	1.0	False	2.4725050916496945	1.5	1.5
Cesena	O15_FT	5	5	0	1.0	False	2.3804554079696394	1.5	1.5
Cordoba	HT05	5	5	0	1.0	False	2.462998102466793	1.5	1.5
Cremonese	HT1X_HOME	5	5	0	1.0	False	2.4694501018329937	1.5	1.5
Cultural Leonesa	O15_FT	5	5	0	1.0	False	2.377609108159393	1.5	1.5
Damac	HT1X_HOME	5	5	0	1.0	False	2.4663951120162935	1.5	1.5
Diosgyori VTK	O15_FT	5	5	0	1.0	False	2.3747628083491463	1.5	1.5
Espanyol	O15_FT	5	5	0	1.0	False	2.3719165085388996	1.5	1.5
FC Andorra	HT05	5	5	0	1.0	False	2.4601518026565463	1.5	1.5
Falkirk	HT1X_HOME	5	5	0	1.0	False	2.4633401221995928	1.5	1.5
Fatih Karagümrük	HT1X_HOME	5	5	0	1.0	False	2.460285132382892	1.5	1.5
Fortaleza FC	HT05	5	5	0	1.0	False	2.4573055028462996	1.5	1.5
GIL Vicente	O15_FT	5	5	0	1.0	False	2.369070208728653	1.5	1.5
Gazişehir Gaziantep	O15_FT	5	5	0	1.0	False	2.366223908918406	1.5	1.5
Genoa	O15_FT	5	5	0	1.0	False	2.3633776091081593	1.5	1.5
Heerenveen	O15_FT	5	5	0	1.0	False	2.3605313092979125	1.5	1.5
Junior	HT05	5	5	0	1.0	False	2.454459203036053	1.5	1.5
Livingston	O15_FT	5	5	0	1.0	False	2.357685009487666	1.5	1.5
Manchester City	HT1X_HOME	5	5	0	1.0	False	2.4572301425661913	1.5	1.5
Mazatlán	HT05	5	5	0	1.0	False	2.4516129032258065	1.5	1.5
Millwall	HT1X_HOME	5	5	0	1.0	False	2.4541751527494906	1.5	1.5
Millwall	O15_FT	5	5	0	1.0	False	2.354838709677419	1.5	1.5
NEC Nijmegen	O15_FT	5	5	0	1.0	False	2.3519924098671727	1.5	1.5
Nyiregyhaza	O15_FT	5	5	0	1.0	False	2.349146110056926	1.5	1.5
Oviedo	HT1X_HOME	5	5	0	1.0	False	2.4511201629327903	1.5	1.5
RAAL La Louvière	HT1X_HOME	5	5	0	1.0	False	2.4480651731160896	1.5	1.5
Rayo Vallecano	HT05	5	5	0	1.0	False	2.4487666034155597	1.5	1.5
Rayo Vallecano	O15_FT	5	5	0	1.0	False	2.3462998102466797	1.5	1.5
Real Sociedad II	HT1X_HOME	5	5	0	1.0	False	2.445010183299389	1.5	1.5
Rio Ave	HT05	5	5	0	1.0	False	2.4459203036053134	1.5	1.5
Rizespor	HT05	5	5	0	1.0	False	2.4430740037950667	1.5	1.5
Rizespor	O15_FT	5	5	0	1.0	False	2.343453510436433	1.5	1.5
SV Darmstadt 98	HT1X_HOME	5	5	0	1.0	False	2.4419551934826886	1.5	1.5
Santos Laguna	HT05	5	5	0	1.0	False	2.44022770398482	1.5	1.5
Santos Laguna	O15_FT	5	5	0	1.0	False	2.340607210626186	1.5	1.5
Sevilla	O15_FT	5	5	0	1.0	False	2.3377609108159394	1.5	1.5
Sporting CP	TEAM1_SCORE_FT	5	5	0	1.0	False	2.485	1.5	1.5
Sporting CP B	HT05	5	5	0	1.0	False	2.437381404174573	1.5	1.5
Standard Liege	O15_FT	5	5	0	1.0	False	2.3349146110056926	1.5	1.5
Strasbourg	HT05	5	5	0	1.0	False	2.4345351043643264	1.5	1.5
Ujpest	O15_FT	5	5	0	1.0	False	2.332068311195446	1.5	1.5
AS Roma	HT1X_HOME	4	4	0	1.0	False	2.438900203665988	1.5	1.5
Ajax	TEAM1_SCORE_FT	4	4	0	1.0	False	2.4775	1.5	1.5
Al Khaleej Saihat	HT1X_HOME	4	4	0	1.0	False	2.435845213849287	1.5	1.5
Al Khaleej Saihat	TEAM1_SCORE_FT	4	4	0	1.0	False	2.4699999999999998	1.5	1.5
Al Shabab	HT1X_HOME	4	4	0	1.0	False	2.4327902240325865	1.5	1.5
Al-Ettifaq	HT1X_HOME	4	4	0	1.0	False	2.4297352342158858	1.5	1.5
Al-Hazm	HT1X_HOME	4	4	0	1.0	False	2.4266802443991855	1.5	1.5
Al-Hazm	TEAM1_SCORE_FT	4	4	0	1.0	False	2.4625	1.5	1.5
Alanyaspor	O15_FT	4	4	0	1.0	False	2.329222011385199	1.5	1.5
Almeria	HT1X_HOME	4	4	0	1.0	False	2.423625254582485	1.5	1.5
Arsenal	HT1X_HOME	4	4	0	1.0	False	2.420570264765784	1.5	1.5
Bala Town	O15_FT	4	4	0	1.0	False	2.3263757115749524	1.5	1.5
Blackburn	O15_FT	4	4	0	1.0	False	2.3235294117647056	1.5	1.5
