variant_idx,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,O15R_wr_mean,O15R_wr_min,O15R_wr_max,O15R_wr_std,O15R_n_mean,O15R_n_min,O15R_n_max,O15R_n_std,O15R_worst_streak_mean,O15R_worst_streak_max,O15R_best_streak_mean,O15R_best_streak_max,O15R_nm_mult_mean,O15R_nm_mult_min,O15R_nm_mult_max,O15R_nm_mult_std,O15R_nm_profit_mean,O15R_nm_profit_min,O15R_nm_profit_max,O15R_nm_ruin,O15R_nm_streak_mean,O15R_nm_streak_max,O15R_safe_mult_mean,O15R_safe_mult_min,O15R_safe_mult_max,O15R_safe_mult_std,O15R_safe_profit_mean,O15R_safe_profit_min,O15R_safe_profit_max,O15R_safe_ruin,O15R_safe_streak_mean,O15R_safe_streak_max,O15R_safe_dbl_mean,O15R_safe_dbl_max,O15R_score,total_safe_mult,total_n
35,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.55,12,4,2,3,0.8,0.4779,0.3333,0.6154,0.0529,26.7,24,30,1.2673,3.86,10,2.52,4,3.2398,0.0,10.948,3.5806,223.9866,-100.0,994.78,35.0,3.52,5,3.7984,0.0,6.392,1.47,279.8439,-100.0,539.15,1.0,3.47,5,1.81,3,2.0326,3.7984,26
37,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.6,12,4,1,3,0.8,0.457,0.25,0.6154,0.0597,26.73,23,29,1.246,3.87,10,2.49,4,3.1706,0.0,11.348,3.5634,217.0632,-100.0,1034.76,42.0,3.5,5,3.7393,0.0,6.484,1.459,273.9281,-100.0,548.38,1.0,3.54,5,1.74,3,1.9968,3.7393,26
19,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.55,12,4,2,3,0.8,0.5019,0.3846,0.6207,0.0461,27.88,25,30,1.0078,3.73,9,2.73,5,3.0559,0.0,12.042,3.3371,205.5875,-100.0,1104.2,31.0,3.54,5,3.717,0.0,6.995,1.2518,271.7043,-100.0,599.52,1.0,3.48,5,1.82,3,1.9991,3.717,27
39,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.6,12,4,2,3,0.8,0.4713,0.32,0.5926,0.0552,26.76,24,30,1.1202,3.93,9,2.39,4,2.5223,0.0,11.624,3.4134,152.2343,-100.0,1062.43,46.0,3.67,5,3.6433,0.0,6.813,1.372,264.3356,-100.0,581.33,2.0,3.64,5,1.83,3,1.943,3.6433,26
23,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.6,12,4,2,3,0.8,0.5045,0.3571,0.6552,0.0544,27.81,26,31,0.9713,3.73,10,2.79,5,3.0333,0.0,9.179,3.1298,203.3332,-100.0,817.86,31.0,3.4,5,3.4599,0.0,5.719,1.4147,245.9905,-100.0,471.88,3.0,3.47,5,1.72,2,1.8513,3.4599,27
38,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.6,12,4,2,3,0.6,0.45,0.3462,0.56,0.0458,26.27,24,29,1.0333,4.24,9,2.29,4,2.2623,0.0,9.893,3.3765,126.2278,-100.0,889.29,49.0,3.68,5,3.4011,0.0,6.012,1.4108,240.1122,-100.0,501.23,2.0,3.75,5,1.63,2,1.8155,3.4011,26
17,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.55,12,4,1,3,0.8,0.4838,0.3571,0.6552,0.0596,27.94,25,31,1.1531,3.95,9,2.95,5,2.7754,0.0,9.314,3.2586,177.5422,-100.0,831.36,38.0,3.67,5,3.3775,0.0,5.652,1.4619,237.7562,-100.0,465.19,2.0,3.63,5,1.65,2,1.8139,3.3775,27
3,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.55,12,4,2,3,0.8,0.557,0.3929,0.7097,0.053,29.79,27,32,1.1832,3.35,7,3.38,5,2.9797,0.0,11.024,2.9551,197.9674,-100.0,1002.4,32.0,3.26,5,3.3342,0.0,6.366,1.388,233.4264,-100.0,536.56,3.0,3.21,5,1.68,3,1.8042,3.3342,29
33,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.55,12,4,1,3,0.8,0.445,0.3077,0.6296,0.0601,26.7,24,29,1.1146,4.22,9,2.44,5,2.4065,0.0,9.802,3.3054,140.6472,-100.0,880.18,46.0,3.68,5,3.3199,0.0,6.344,1.4853,231.9899,-100.0,534.36,2.0,3.71,5,1.67,2,1.7734,3.3199,26
1,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.55,12,4,1,3,0.8,0.516,0.3448,0.6429,0.0559,28.63,26,31,1.1691,3.25,7,3.05,5,3.1433,0.0,10.518,2.5233,214.3339,-100.0,951.75,21.0,3.11,5,3.3125,0.0,6.395,1.2934,231.2515,-100.0,539.49,1.0,3.09,5,1.6,3,1.8011,3.3125,28
32,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.55,12,4,1,3,0.6,0.4177,0.2917,0.5517,0.0494,26.48,23,29,1.0587,4.38,9,2.13,4,2.1513,0.0,10.221,3.3791,115.1297,-100.0,922.08,49.0,3.82,5,3.2736,0.0,6.347,1.4565,227.3593,-100.0,534.68,1.0,3.82,5,1.58,2,1.7521,3.2736,26
34,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.55,12,4,2,3,0.6,0.453,0.36,0.6,0.0487,26.4,23,28,1.2144,4.03,9,2.28,5,2.6061,0.0,8.801,3.3972,160.6075,-100.0,780.13,42.0,3.63,5,3.2404,0.0,5.717,1.5675,224.0375,-100.0,471.66,2.0,3.65,5,1.63,2,1.7361,3.2404,26
7,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.6,12,4,2,3,0.8,0.5471,0.4194,0.6786,0.0502,29.75,27,32,1.1225,3.53,8,3.42,5,2.6679,0.0,9.37,2.8261,166.7921,-100.0,836.97,27.0,3.32,5,3.2335,0.0,5.94,1.4241,223.3506,-100.0,494.03,5.0,3.33,5,1.65,3,1.7309,3.2335,29
21,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.6,12,4,1,3,0.8,0.4707,0.36,0.5862,0.0488,27.74,25,30,1.2029,3.99,8,2.68,4,2.1663,0.0,11.573,3.0087,116.6319,-100.0,1057.33,45.0,3.67,5,3.1464,0.0,6.656,1.4709,214.6376,-100.0,565.62,3.0,3.68,5,1.62,2,1.6844,3.1464,27
5,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.6,12,4,1,3,0.8,0.5196,0.4138,0.6538,0.0477,28.68,25,31,1.2543,3.43,7,3.17,5,2.519,0.0,8.605,2.5177,151.902,-100.0,760.46,26.0,3.28,5,3.1429,0.0,5.342,1.2326,214.2869,-100.0,434.23,2.0,3.25,5,1.59,2,1.7073,3.1429,28
22,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.6,12,4,2,3,0.6,0.4998,0.3793,0.6,0.0475,28.58,26,30,0.9968,3.72,7,2.79,5,2.6263,0.0,8.054,2.6027,162.6272,-100.0,705.39,32.0,3.51,5,3.0773,0.0,5.203,1.353,207.7299,-100.0,420.34,1.0,3.52,5,1.51,2,1.6786,3.0773,28
36,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.6,12,4,1,3,0.6,0.4242,0.3333,0.5385,0.0476,26.5,24,30,1.1326,4.21,10,2.39,4,1.8881,0.0,9.546,3.053,88.8094,-100.0,854.58,54.0,3.75,5,3.001,0.0,5.983,1.523,200.1034,-100.0,498.3,4.0,3.82,5,1.5,2,1.5878,3.001,26
6,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.6,12,4,2,3,0.6,0.5589,0.4667,0.7037,0.0494,30.41,27,33,1.1018,3.41,7,3.6,6,2.4504,0.0,7.721,2.5804,145.0396,-100.0,672.14,35.0,3.31,5,2.9911,0.0,5.139,1.3635,199.115,-100.0,413.95,2.0,3.3,5,1.57,2,1.6432,2.9911,30
2,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.55,12,4,2,3,0.6,0.5515,0.4333,0.6452,0.0461,30.66,28,33,0.987,3.63,7,3.51,6,2.4506,0.0,9.51,2.7221,145.0566,-100.0,850.95,35.0,3.42,5,2.9666,0.0,5.807,1.4009,196.6539,-100.0,480.73,2.0,3.39,5,1.46,3,1.6288,2.9666,30
18,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.55,12,4,2,3,0.6,0.5053,0.3667,0.6207,0.0542,28.79,26,31,1.1397,3.84,7,2.98,5,2.1496,0.0,8.894,2.7462,114.9645,-100.0,789.38,41.0,3.65,5,2.9098,0.0,5.746,1.4713,190.9783,-100.0,474.55,5.0,3.63,5,1.52,3,1.5565,2.9098,28
16,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.55,12,4,1,3,0.6,0.4729,0.3448,0.6429,0.0516,28.54,27,30,0.9257,3.74,7,2.73,5,2.2972,0.0,8.02,2.5143,129.7155,-100.0,701.99,35.0,3.57,5,2.8667,0.0,5.243,1.3188,186.673,-100.0,424.3,2.0,3.56,5,1.45,2,1.5552,2.8667,28
0,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.55,12,4,1,3,0.6,0.5261,0.4,0.6774,0.0512,29.42,27,31,1.0653,3.38,6,3.17,6,2.3913,0.0,6.556,2.3663,139.1274,-100.0,555.57,37.0,3.27,5,2.8306,0.0,5.04,1.2939,183.0592,-100.0,403.99,2.0,3.29,5,1.45,2,1.5531,2.8306,29
20,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.6,12,4,1,3,0.6,0.4769,0.3448,0.5926,0.0499,28.75,26,31,0.9886,3.63,6,2.82,5,2.2451,0.0,8.807,2.6373,124.5061,-100.0,780.71,37.0,3.5,5,2.7611,0.0,5.663,1.3922,176.1101,-100.0,466.26,3.0,3.46,5,1.41,2,1.4936,2.7611,28
4,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.6,12,4,1,3,0.6,0.5219,0.4,0.6667,0.0582,29.49,27,32,1.0871,3.4,6,3.19,6,2.2024,0.0,9.507,2.466,120.2452,-100.0,850.65,34.0,3.29,5,2.7486,0.0,6.138,1.2995,174.8639,-100.0,513.84,1.0,3.32,5,1.41,3,1.5209,2.7486,29
31,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.7,12,4,2,3,0.8,0.588,0.3529,0.8125,0.0759,16.07,13,17,0.7818,2.43,5,5.53,10,2.2386,0.0,4.11,1.045,123.8611,-100.0,310.98,5.0,2.43,5,2.3476,0.0,3.494,0.804,134.7563,-100.0,249.44,3.0,2.43,5,0.93,1,1.3202,2.3476,16
45,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.7,12,4,1,3,0.8,0.5597,0.375,0.7333,0.0809,14.99,13,16,0.8819,2.54,5,4.95,8,2.2819,0.0,4.371,1.1398,128.1928,-100.0,337.1,6.0,2.53,5,2.3259,0.0,3.907,0.9519,132.596,-100.0,290.69,6.0,2.53,5,0.92,2,1.2709,2.3259,14
29,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.7,12,4,1,3,0.8,0.59,0.4,0.8,0.0798,15.98,13,17,0.8759,2.56,5,5.33,10,2.2213,0.0,4.182,1.2018,122.1333,-100.0,318.16,4.0,2.55,4,2.2748,0.0,3.88,0.9954,127.4824,-100.0,287.97,4.0,2.55,4,0.88,2,1.2744,2.2748,15
11,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.65,12,4,2,3,0.8,0.5515,0.375,0.7391,0.0685,23.29,21,25,0.9566,3.17,7,3.44,8,2.0644,0.0,5.826,1.6673,106.4359,-100.0,482.57,26.0,3,5,2.2418,0.0,4.358,1.2782,124.186,-100.0,335.83,14.0,3.01,5,0.96,2,1.1463,2.2418,23
47,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.7,12,4,2,3,0.8,0.5527,0.3571,0.7333,0.0799,15.01,12,16,0.9692,2.73,5,4.62,9,2.1949,0.0,4.267,1.2438,119.4889,-100.0,326.7,9.0,2.73,5,2.2369,0.0,3.886,1.0435,123.6939,-100.0,288.62,6.0,2.73,5,0.86,2,1.2243,2.2369,15
27,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.65,12,4,2,3,0.8,0.49,0.3333,0.6667,0.0726,21.25,19,24,1.1924,3.09,6,2.4,6,2.1032,0.0,4.995,1.6961,110.3175,-100.0,399.47,25.0,2.99,5,2.1529,0.0,4.148,1.4082,115.2853,-100.0,314.84,18.0,2.97,5,0.86,2,1.0434,2.1529,21
9,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.65,12,4,1,3,0.8,0.521,0.35,0.6818,0.0731,22.26,19,25,1.1859,3,6,3.4,8,1.98,0.0,4.58,1.5374,97.9999,-100.0,358.04,20.0,2.91,5,2.0778,0.0,4.105,1.3492,107.7779,-100.0,310.54,13.0,2.9,4,0.8,2,1.0652,2.0778,22
10,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.65,12,4,2,3,0.6,0.5486,0.4,0.6923,0.0568,24.13,21,26,0.9498,3.17,6,3.09,7,2.0661,0.0,5.596,1.7196,106.6077,-100.0,459.63,23.0,3.04,5,2.046,0.0,4.76,1.474,104.6042,-100.0,375.98,20.0,3.03,5,0.8,2,0.9876,2.046,24
41,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.65,12,4,1,3,0.8,0.4275,0.2632,0.6667,0.0828,20.05,17,23,1.1924,3.62,7,2.14,6,1.8197,0.0,5.673,1.9108,81.9727,-100.0,467.33,44.0,3.28,5,2.0212,0.0,4.441,1.5623,102.1227,-100.0,344.05,29.0,3.26,5,0.85,2,0.8488,2.0212,20
43,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.65,12,4,2,3,0.8,0.4516,0.2632,0.6,0.0832,20.14,17,24,1.3182,3.54,7,2.35,5,1.8259,0.0,5.559,2.047,82.5953,-100.0,455.94,41.0,3.3,5,1.9503,0.0,4.492,1.6603,95.0283,-100.0,349.23,26.0,3.32,5,0.87,2,0.8506,1.9503,20
25,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.65,12,4,1,3,0.8,0.4616,0.2857,0.6818,0.0772,21.27,19,25,1.2379,3.23,7,2.45,6,1.911,0.0,5.137,1.5945,91.1044,-100.0,413.7,30.0,3.07,5,1.9248,0.0,4.209,1.4265,92.4846,-100.0,320.87,27.0,3.07,5,0.72,2,0.8309,1.9248,21
14,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.7,12,4,2,3,0.6,0.5885,0.4444,0.75,0.0666,17.81,15,19,0.7614,2.64,5,5.74,11,1.7184,0.0,3.622,0.7658,71.8427,-100.0,262.19,7.0,2.64,5,1.8631,0.0,3.207,0.7503,86.3085,-100.0,220.68,7.0,2.64,5,0.59,1,1.0381,1.8631,17
13,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.7,12,4,1,3,0.8,0.6046,0.4375,0.8,0.0847,17.15,14,18,0.9252,2.83,5,6.6,11,1.6936,0.0,4.397,1.1347,69.3632,-100.0,339.72,10.0,2.83,5,1.8424,0.0,3.925,1.0406,84.2454,-100.0,292.48,9.0,2.83,5,0.73,2,1.0126,1.8424,17
15,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.7,12,4,2,3,0.8,0.5992,0.4375,0.7778,0.0718,17.17,15,18,0.8172,2.8,5,6.2,10,1.6524,0.0,3.797,1.1341,65.2419,-100.0,279.7,11.0,2.8,5,1.7245,0.0,3.28,1.1059,72.4532,-100.0,228.04,10.0,2.8,5,0.62,1,0.942,1.7245,17
8,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.65,12,4,1,3,0.6,0.4945,0.2727,0.6522,0.0631,23.12,20,26,1.0178,3.32,6,2.82,5,1.6013,0.0,4.405,1.4779,60.1342,-100.0,340.49,35.0,3.13,5,1.6974,0.0,4.052,1.3575,69.7361,-100.0,305.19,32.0,3.13,5,0.61,2,0.677,1.6974,23
12,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.6,0.7,12,4,1,3,0.6,0.5809,0.4444,0.7333,0.071,17.59,15,19,0.7398,2.81,5,5.53,10,1.4648,0.0,3.156,0.8763,46.4756,-100.0,215.63,15.0,2.81,5,1.6292,0.0,2.978,0.8965,62.9245,-100.0,197.78,14.0,2.81,5,0.55,1,0.8489,1.6292,17
26,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.65,12,4,2,3,0.6,0.4818,0.3333,0.6522,0.0663,22.46,19,26,1.2746,3.52,7,2.47,5,1.5991,0.0,5.563,1.7635,59.9119,-100.0,456.26,40.0,3.34,5,1.5854,0.0,4.893,1.5936,58.5348,-100.0,389.3,37.0,3.35,5,0.6,2,0.5672,1.5854,22
44,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.7,12,4,1,3,0.6,0.5039,0.2857,0.7333,0.0848,15.27,12,17,0.9085,3.51,5,4.39,8,1.4767,0.0,3.43,1.3045,47.6676,-100.0,242.97,38.0,3.38,5,1.5318,0.0,3.148,1.2885,53.1771,-100.0,214.78,38.0,3.38,5,0.6,1,0.5371,1.5318,15
28,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.7,12,4,1,3,0.6,0.5211,0.3529,0.7647,0.0718,16.47,13,17,0.7972,3.61,5,4.85,10,1.3277,0.0,3.803,1.1804,32.7698,-100.0,280.32,30.0,3.52,5,1.4624,0.0,3.283,1.1925,46.241,-100.0,228.25,30.0,3.52,5,0.62,1,0.5875,1.4624,16
40,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.65,12,4,1,3,0.6,0.4251,0.2857,0.5909,0.0703,21.08,18,24,1.1431,3.95,7,2.27,6,1.5256,0.0,6.039,1.9815,52.5578,-100.0,503.9,50.0,3.57,5,1.456,0.0,4.552,1.7424,45.5998,-100.0,355.17,47.0,3.56,5,0.62,2,0.3855,1.456,21
24,False,10,True,0.08,TEAM,TEAM,5,5,2.6,1.8,0.65,12,4,1,3,0.6,0.4633,0.2609,0.5909,0.0698,22.08,19,25,1.22,3.72,8,2.4,5,1.4478,0.0,4.852,1.638,44.7792,-100.0,385.18,45.0,3.39,5,1.421,0.0,4.057,1.502,42.1065,-100.0,305.71,44.0,3.39,5,0.55,2,0.4095,1.421,22
46,False,10,True,0.08,TEAM,TEAM,5,5,2.6,2.0,0.7,12,4,2,3,0.6,0.4914,0.3125,0.6875,0.082,15.4,13,17,0.8762,3.6,5,4.13,8,1.2978,0.0,3.761,1.2633,29.7782,-100.0,276.14,36.0,3.52,5,1.3963,0.0,3.32,1.2605,39.634,-100.0,231.99,36.0,3.52,5,0.57,1,0.4856,1.3963,15
