variant_idx,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,p_target_odd,p_rich_day_match_count,p_day_max_windows_rich,p_min_side_matches_for_split,p_split_gap_weight,p_min_accept_odd,p_random_league_bet_min_winrate,p_day_max_windows_poor,O15R_wr_mean,O15R_wr_min,O15R_wr_max,O15R_wr_std,O15R_n_mean,O15R_n_min,O15R_n_max,O15R_n_std,O15R_worst_streak_mean,O15R_worst_streak_max,O15R_best_streak_mean,O15R_best_streak_max,O15R_nm_mult_mean,O15R_nm_mult_min,O15R_nm_mult_max,O15R_nm_mult_std,O15R_nm_profit_mean,O15R_nm_profit_min,O15R_nm_profit_max,O15R_nm_ruin,O15R_nm_streak_mean,O15R_nm_streak_max,O15R_safe_mult_mean,O15R_safe_mult_min,O15R_safe_mult_max,O15R_safe_mult_std,O15R_safe_profit_mean,O15R_safe_profit_min,O15R_safe_profit_max,O15R_safe_ruin,O15R_safe_streak_mean,O15R_safe_streak_max,O15R_safe_dbl_mean,O15R_safe_dbl_max,O15R_score,total_safe_mult,total_n
11,False,10,True,0.08,TEAM,TEAM,5,5,2.6,12,4,3,0.8,2.0,0.6,2,0.4929,0.3704,0.6,0.0536,26.97,24,30,1.0294,3.61,9,2.6,4,3.902,0.0,11.105,3.7958,290.198,-100.0,1010.47,26.0,3.43,5,3.9818,0.0,6.434,1.4422,298.1786,-100.0,543.45,1.0,3.43,5,1.82,3,2.1288,3.9818,26
9,False,10,True,0.08,TEAM,TEAM,5,5,2.6,12,4,3,0.8,2.0,0.55,2,0.4818,0.3462,0.6429,0.055,26.69,23,30,1.152,3.71,8,2.56,5,3.1858,0.0,10.605,3.5199,218.5828,-100.0,960.5,29.0,3.48,5,3.9278,1.26,6.624,1.2397,292.7772,25.96,562.43,0.0,3.51,5,1.93,3,2.1084,3.9278,26
8,False,10,True,0.08,TEAM,TEAM,5,5,2.6,12,4,3,0.8,2.0,0.55,1,0.472,0.3462,0.6154,0.0584,26.85,24,29,1.0577,3.71,8,2.64,5,3.1864,0.0,10.641,3.5131,218.6426,-100.0,964.06,34.0,3.43,5,3.8404,0.0,6.473,1.2856,284.0438,-100.0,547.32,1.0,3.5,5,1.87,3,2.0518,3.8404,26
10,False,10,True,0.08,TEAM,TEAM,5,5,2.6,12,4,3,0.8,2.0,0.6,1,0.4657,0.3103,0.5769,0.0586,26.94,24,30,1.0901,3.68,11,2.51,4,3.0453,0.0,10.424,3.3157,204.5326,-100.0,942.36,33.0,3.46,5,3.7146,0.0,6.454,1.3015,271.4539,-100.0,545.38,1.0,3.46,5,1.85,3,1.987,3.7146,26
1,False,10,True,0.08,TEAM,TEAM,5,5,2.6,12,4,3,0.8,1.6,0.55,2,0.553,0.4138,0.6897,0.0554,29.85,27,32,1.1492,3.46,8,3.41,5,3.2004,0.0,11.265,3.1066,220.0342,-100.0,1026.49,28.0,3.27,5,3.4726,0.0,6.701,1.4323,247.2557,-100.0,570.07,1.0,3.31,5,1.72,3,1.8922,3.4726,29
0,False,10,True,0.08,TEAM,TEAM,5,5,2.6,12,4,3,0.8,1.6,0.55,1,0.5278,0.4,0.6786,0.058,28.72,25,31,1.0257,3.15,8,3.17,5,3.3256,0.0,10.833,2.6575,232.5612,-100.0,983.35,21.0,2.98,5,3.4214,0.0,6.573,1.277,242.1408,-100.0,557.34,1.0,3.04,5,1.7,3,1.859,3.4214,28
5,False,10,True,0.08,TEAM,TEAM,5,5,2.6,12,4,3,0.8,1.8,0.55,2,0.4936,0.3929,0.6538,0.0499,27.89,25,31,1.0721,3.89,9,2.63,4,2.2994,0.0,9.199,2.9086,129.9412,-100.0,819.85,46.0,3.62,5,3.3264,0.0,5.745,1.4116,232.6378,-100.0,474.54,6.0,3.54,5,1.68,2,1.7513,3.3264,27
2,False,10,True,0.08,TEAM,TEAM,5,5,2.6,12,4,3,0.8,1.6,0.6,1,0.522,0.3793,0.6667,0.0574,28.63,26,31,1.0215,3.33,7,3.19,5,3.0952,0.0,9.595,2.6855,209.5209,-100.0,859.51,24.0,3.19,5,3.3212,0.0,6.033,1.3281,232.1223,-100.0,503.33,2.0,3.18,5,1.63,3,1.7972,3.3212,28
7,False,10,True,0.08,TEAM,TEAM,5,5,2.6,12,4,3,0.8,1.8,0.6,2,0.4945,0.3704,0.6296,0.0514,27.68,25,30,1.1181,3.77,9,2.62,4,2.573,0.0,9.691,3.101,157.3026,-100.0,869.12,39.0,3.54,5,3.2304,0.0,5.861,1.4329,223.0419,-100.0,486.09,3.0,3.58,5,1.63,2,1.7335,3.2304,27
3,False,10,True,0.08,TEAM,TEAM,5,5,2.6,12,4,3,0.8,1.6,0.6,2,0.552,0.4194,0.6786,0.0505,29.6,27,32,1.0347,3.46,8,3.3,5,2.5896,0.0,9.42,2.6729,158.9566,-100.0,841.96,33.0,3.24,5,3.2014,0.0,5.962,1.2777,220.1456,-100.0,496.22,0.0,3.24,5,1.64,3,1.7663,3.2014,29
