variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,wr_mean,wr_std,n_mean,n_min,n_max,loss_streak_mean,loss_streak_max,win_streak_mean,win_streak_max,nm_mult_mean,nm_mult_min,nm_ruin,nm_streak,safe_mult_mean,safe_mult_min,safe_mult_max,safe_mult_std,safe_ruin,safe_loss_str_mean,safe_win_str_mean,safe_dbl,br_safe_mult,br_nm_mult,br_wr,br_n_tickets,br_win_streak,br_loss_streak,br_doublings,wr_safe_mult,wr_nm_mult,wr_wr,wr_n_tickets,wr_win_streak,wr_loss_streak,wr_doublings,wr_ruined,score
117,5.0,1.8,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4646,0.0488,19.53,16,22,3.01,4,3.49,7,10.6011,0.0,3.0,3.01,6.4109,0.0,10.801,2.7991,1.0,3.01,3.47,1.91,10.801,23.722,0.5238,21,6,3,3,0.0,0.0,0.45,20,3,4,0,True,3.3348
137,5.0,2.0,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4468,0.0436,20.11,17,24,2.97,4,2.77,5,10.5071,0.0,3.0,2.97,6.4072,0.0,11.064,2.6378,1.0,2.97,2.76,2.02,11.064,24.809,0.5455,22,4,2,3,0.0,0.0,0.4286,21,4,4,0,False,3.3276
125,5.0,1.8,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4487,0.0449,19.96,17,22,2.89,4,2.6,5,10.7971,0.0,1.0,2.89,6.385,0.0,10.251,2.2822,0.0,2.89,2.6,2.15,10.251,20.66,0.5238,21,4,3,3,0.0,0.0,0.381,21,2,4,0,False,3.3271
142,5.0,2.0,0.65,15,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.447,0.0439,20,17,22,2.92,4,2.7,5,10.3817,0.0,4.0,2.92,6.3643,0.0,10.629,2.4635,1.0,2.92,2.67,2.07,10.629,21.744,0.4545,22,3,3,3,0.0,0.0,0.381,21,2,4,0,False,3.3063
136,5.0,2.0,0.65,12,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4448,0.0425,20.16,17,23,2.95,4,2.74,5,10.4603,0.0,3.0,2.95,6.3373,0.0,10.285,2.4792,0.0,2.95,2.74,2.08,10.285,20.463,0.4545,22,4,3,3,0.0,0.0,0.4348,23,4,4,0,False,3.3021
111,5.0,1.8,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4644,0.0495,19.64,16,23,2.89,4,3.22,6,10.6072,0.0,2.0,2.89,6.3366,0.0,10.952,2.5842,1.0,2.89,3.2,2.06,10.952,21.627,0.4348,23,3,3,3,0.0,0.0,0.4286,21,3,4,0,False,3.2976
123,5.0,1.8,0.65,15,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.464,0.0502,19.57,16,23,2.93,4,3.16,6,10.3705,0.0,3.0,2.93,6.2773,0.0,12.448,2.631,1.0,2.93,3.14,2.07,12.448,32.85,0.4783,23,4,3,3,0.0,0.0,0.45,20,3,4,0,True,3.2679
129,5.0,2.0,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4651,0.0464,19.72,16,23,2.93,4,3.41,8,10.5968,0.0,3.0,2.93,6.2592,0.0,10.538,2.6395,0.0,2.93,3.41,2.02,10.538,23.004,0.4762,21,4,3,3,0.0,0.0,0.4737,19,5,4,0,False,3.2691
143,5.0,2.0,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4489,0.0406,19.78,17,22,2.91,4,2.62,5,10.3078,0.0,0.0,2.91,6.2131,0.0,10.301,2.4264,0.0,2.91,2.62,2.03,10.301,22.53,0.5238,21,5,3,3,0.0,0.0,0.4211,19,2,4,0,False,3.2412
110,5.0,1.8,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4459,0.0434,20.11,18,23,2.93,4,2.62,5,10.0746,0.0,6.0,2.93,6.1473,0.0,11.26,2.5828,2.0,2.93,2.55,1.97,11.26,22.795,0.4348,23,4,3,3,0.0,0.0,0.3636,22,2,4,0,False,3.1874
108,5.0,1.8,0.65,10,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4676,0.0491,19.68,16,24,3.01,4,3.43,8,10.4396,0.0,5.0,3.01,6.1288,0.0,13.163,3.0033,1.0,3.01,3.41,1.9,13.163,39.664,0.5,24,3,3,3,0.0,0.0,0.4762,21,6,4,0,False,3.1947
147,5.0,2.2,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4276,0.0491,18.78,16,22,3.05,4,2.32,6,9.7279,0.0,6.0,3.05,6.1128,0.0,10.872,2.7697,1.0,3.05,2.32,1.84,10.872,23.549,0.4545,22,3,3,3,0.0,0.0,0.3684,19,1,4,0,False,3.1747
119,5.0,1.8,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4433,0.0382,20.17,17,22,3.01,5,2.64,5,9.8651,0.0,5.0,3.01,6.0982,0.0,9.742,2.6376,1.0,3.01,2.6,1.96,9.742,23.832,0.5,22,4,3,3,0.0,0.0,0.4286,21,2,4,0,False,3.1721
156,5.0,2.2,0.65,15,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.3809,0.0523,19,15,22,3.17,5,1.78,5,9.3489,0.0,13.0,3.17,6.0488,0.0,13.412,3.2346,4.0,3.17,1.76,1.98,13.412,33.144,0.4286,21,3,3,3,0.0,0.0,0.4,20,2,4,0,False,3.0987
158,5.0,2.2,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.3693,0.0507,19.19,16,22,3.34,4,1.58,3,8.633,0.0,11.0,3.34,6.0293,0.0,13.75,3.2036,1.0,3.34,1.58,1.98,13.75,36.523,0.4286,21,3,3,3,0.0,0.0,0.35,20,2,4,0,False,3.1154
113,5.0,1.8,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4407,0.0427,20.15,18,23,2.95,4,2.61,5,9.8288,0.0,6.0,2.95,6.0274,0.0,11.996,2.7088,0.0,2.95,2.61,1.98,11.996,25.531,0.4783,23,3,3,3,0.0,0.0,0.4211,19,2,4,0,False,3.1459
131,5.0,2.0,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4473,0.051,20.05,17,23,2.93,4,2.73,5,9.8319,0.0,4.0,2.93,5.9939,0.0,12.06,2.6865,1.0,2.93,2.72,2.02,12.06,23.859,0.5,22,3,3,3,0.0,0.0,0.3636,22,2,4,0,False,3.1211
109,5.0,1.8,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4521,0.0478,20.16,17,24,2.97,4,2.85,5,10.173,0.0,6.0,2.97,5.9819,0.0,10.673,2.8357,2.0,2.97,2.83,2.03,10.673,23.312,0.4545,22,4,3,3,0.0,0.0,0.381,21,2,4,0,False,3.1066
152,5.0,2.2,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.365,0.0446,18.89,16,22,3.25,4,1.57,3,8.8994,0.0,12.0,3.25,5.9782,0.0,11.45,2.9549,0.0,3.25,1.57,2.02,11.45,27.354,0.4,20,2,3,3,0.0,0.0,0.3636,22,2,4,0,False,3.0986
126,5.0,2.0,0.65,10,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4685,0.047,19.62,16,23,2.96,4,3.23,7,9.7739,0.0,2.0,2.96,5.9643,0.0,11.005,2.8703,1.0,2.96,3.19,1.85,11.005,22.92,0.4348,23,3,3,3,0.0,0.0,0.45,20,4,4,0,False,3.1127
81,4.5,2.0,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4631,0.0488,19.98,17,23,2.94,4,3.26,7,9.5834,0.0,4.0,2.94,5.9326,0.0,9.849,2.2427,0.0,2.94,3.26,2.01,9.849,21.579,0.5,22,5,3,3,0.0,0.0,0.4286,21,4,4,0,False,3.1052
154,5.0,2.2,0.65,12,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.406,0.0501,19.24,16,22,2.97,4,1.69,4,9.677,0.0,5.0,2.97,5.9303,0.0,11.766,2.6003,1.0,2.97,1.69,1.92,11.766,27.169,0.5238,21,4,3,3,0.0,0.0,0.3889,18,1,4,0,True,3.077
146,5.0,2.2,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4084,0.0464,19.1,16,22,2.95,5,1.73,4,9.3125,0.0,4.0,2.95,5.9158,0.0,9.739,2.3014,1.0,2.95,1.73,1.9,9.739,18.388,0.4286,21,3,3,2,0.0,0.0,0.45,20,3,4,0,False,3.0704
63,4.5,1.8,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.469,0.0431,20.41,18,23,2.97,4,3.42,6,9.9789,0.0,2.0,2.97,5.8859,0.0,10.408,2.6406,0.0,2.97,3.42,2.01,10.408,19.598,0.4348,23,4,3,3,0.0,0.0,0.4286,21,3,4,0,False,3.0837
157,5.0,2.2,0.65,15,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.3637,0.0488,19.26,16,23,3.31,4,1.51,3,8.9081,0.0,17.0,3.31,5.8749,0.0,11.361,3.2462,2.0,3.31,1.51,2,11.361,25.739,0.4,20,2,3,3,0.0,0.0,0.3158,19,1,4,0,True,3.0266
73,4.5,2.0,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4545,0.0485,20.21,17,24,2.98,4,2.95,5,9.1387,0.0,5.0,2.98,5.8426,0.0,11.376,2.4032,1.0,2.98,2.94,2.02,11.376,22.989,0.5,22,3,3,3,0.0,0.0,0.3636,22,2,4,0,False,3.0477
135,5.0,2.0,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4609,0.0493,19.63,17,25,3,4,3.18,7,9.5526,0.0,7.0,3,5.8235,0.0,9.824,2.6948,2.0,3,3.13,1.88,9.824,12.071,0.5294,17,5,3,1,0.0,0.0,0.4211,19,2,4,0,False,3.03
150,5.0,2.2,0.65,12,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.3755,0.0514,18.76,15,22,3.18,4,1.72,5,8.8729,0.0,12.0,3.18,5.8157,0.0,15.475,3.1148,2.0,3.18,1.7,1.96,15.475,42.021,0.381,21,2,3,3,0.0,0.0,0.4444,18,3,4,0,True,3.0005
151,5.0,2.2,0.65,12,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.374,0.0533,18.99,16,23,3.23,4,1.57,3,8.5531,0.0,13.0,3.23,5.8023,0.0,13.269,3.069,3.0,3.23,1.57,1.97,13.269,32.58,0.45,20,2,3,3,0.0,0.0,0.3158,19,1,4,0,False,2.9834
82,4.5,2.0,0.65,12,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4505,0.05,20.43,18,23,3.01,5,2.94,5,9.3536,0.0,6.0,3.01,5.7917,0.0,10.161,2.6168,1.0,3.01,2.91,2.02,10.161,20.312,0.5,22,3,3,3,0.0,0.0,0.381,21,2,4,0,False,3.021
127,5.0,2.0,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4507,0.0435,20.23,18,23,2.97,4,2.83,5,9.4208,0.0,6.0,2.97,5.7835,0.0,9.958,2.7642,1.0,2.97,2.81,1.99,9.958,19.171,0.3913,23,2,3,2,0.0,0.0,0.4091,22,2,4,0,False,3.017
