variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,O15R_wr_mean,O15R_wr_std,O15R_n_mean,O15R_worst_streak,O15R_best_streak,O15R_nm_mult_mean,O15R_nm_mult_min,O15R_nm_ruin,O15R_nm_streak,O15R_safe_mult_mean,O15R_safe_mult_min,O15R_safe_ruin,O15R_safe_streak,O15R_safe_dbl,O15R_score,U35R_wr_mean,U35R_wr_std,U35R_n_mean,U35R_worst_streak,U35R_best_streak,U35R_nm_mult_mean,U35R_nm_mult_min,U35R_nm_ruin,U35R_nm_streak,U35R_safe_mult_mean,U35R_safe_mult_min,U35R_safe_ruin,U35R_safe_streak,U35R_safe_dbl,U35R_score,O25R_wr_mean,O25R_wr_std,O25R_n_mean,O25R_worst_streak,O25R_best_streak,O25R_nm_mult_mean,O25R_nm_mult_min,O25R_nm_ruin,O25R_nm_streak,O25R_safe_mult_mean,O25R_safe_mult_min,O25R_safe_ruin,O25R_safe_streak,O25R_safe_dbl,O25R_score,O15SR_wr_mean,O15SR_wr_std,O15SR_n_mean,O15SR_worst_streak,O15SR_best_streak,O15SR_nm_mult_mean,O15SR_nm_mult_min,O15SR_nm_ruin,O15SR_nm_streak,O15SR_safe_mult_mean,O15SR_safe_mult_min,O15SR_safe_ruin,O15SR_safe_streak,O15SR_safe_dbl,O15SR_score,U35SR_wr_mean,U35SR_wr_std,U35SR_n_mean,U35SR_worst_streak,U35SR_best_streak,U35SR_nm_mult_mean,U35SR_nm_mult_min,U35SR_nm_ruin,U35SR_nm_streak,U35SR_safe_mult_mean,U35SR_safe_mult_min,U35SR_safe_ruin,U35SR_safe_streak,U35SR_safe_dbl,U35SR_score,O25SR_wr_mean,O25SR_wr_std,O25SR_n_mean,O25SR_worst_streak,O25SR_best_streak,O25SR_nm_mult_mean,O25SR_nm_mult_min,O25SR_nm_ruin,O25SR_nm_streak,O25SR_safe_mult_mean,O25SR_safe_mult_min,O25SR_safe_ruin,O25SR_safe_streak,O25SR_safe_dbl,O25SR_score,total_safe_mult,total_n
17652,2.6,1.8,None,18,4,2,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5552,0.066,18.76,2.52,3.92,3.7239,0.0,4.0,2.5,3.3807,0.0,2.0,2.5,1.26,1.8369,0.5713,0.2952,2.68,1.16,1.32,1.1579,0.0,6.0,1.16,1.1579,0.0,6.0,1.16,0,0.6903,0.68,0.4712,0.94,0,0.94,1.1386,1.0,0.0,0,1.1386,1.0,0.0,0,0,0.7733,0.4181,0.0747,22.54,4.96,2.78,1.5239,0.0,74.0,3.94,1.8071,0.0,52.0,4,0.78,0.509,0.2153,0.2923,1.74,1.2,0.48,0.9487,0.533,0.0,1.2,0.9487,0.533,0.0,1.2,0,0.5389,0.2223,0.2273,2.7,1.98,0.6,0.9457,0.0,6.0,1.96,0.9519,0.0,6.0,1.96,0.02,0.4826,9.3849,45
18570,2.6,2.0,None,15,4,2,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5242,0.0707,18.22,2.46,3.16,3.7324,0.0,2.0,2.46,3.3315,0.0,2.0,2.46,1.2,1.803,0.6023,0.304,2.74,0.94,1.5,1.2309,0.8,0.0,0.94,1.2309,0.8,0.0,0.94,0,0.7961,0.56,0.5014,0.9,0,0.9,1.131,1.0,0.0,0,1.131,1.0,0.0,0,0,0.7335,0.4159,0.0632,23.22,4.56,2.68,2.445,0.0,72.0,3.94,2.8343,0.0,36.0,3.92,1.24,1.1819,0.2633,0.3348,1.72,1.12,0.54,0.9608,0.0,4.0,1.12,0.9608,0.0,4.0,1.12,0,0.5194,0.2083,0.2388,2.66,1.92,0.5,0.9754,0.0,4.0,1.9,0.9795,0.0,4.0,1.9,0.02,0.5122,10.468,46
17919,2.6,1.8,0.55,15,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5695,0.0615,20.88,2.38,4.52,3.5278,0.0,6.0,2.38,3.3252,0.0,0.0,2.36,1.26,1.8335,0.49,0.3263,2.38,1,1.16,1.1767,0.8,0.0,1,1.1767,0.8,0.0,1,0,0.7354,0.6,0.4949,0.8,0,0.8,1.1193,1.0,0.0,0,1.1193,1.0,0.0,0,0,0.7396,0.4373,0.0612,25.1,5.4,4,0.9531,0.0,86.0,4.08,1.9628,0.0,44.0,4.12,0.86,0.6726,0.3097,0.4013,1.6,1,0.52,0.9682,0.0,4.0,1,0.9682,0.0,4.0,1,0,0.537,0.1549,0.1926,3.28,2.34,0.46,0.8776,0.0,14.0,2.26,0.8776,0.0,14.0,2.26,0,0.3453,9.4298,51
18513,2.6,2.0,None,12,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5105,0.0647,19.62,2.66,3.14,3.6275,0.0,10.0,2.62,3.3137,0.0,4.0,2.62,1.3,1.77,0.8327,0.1882,3.32,0.6,2.32,1.341,0.863,0.0,0.6,1.341,0.863,0.0,0.6,0,0.9203,0.7,0.4629,0.8,0,0.8,1.1206,1.0,0.0,0,1.1206,1.0,0.0,0,0,0.7703,0.4167,0.0505,24.9,5.12,3.18,1.4132,0.0,64.0,3.92,2.3272,0.0,38.0,3.9,1.04,0.9086,0.1823,0.2225,1.98,1.42,0.48,0.9197,0.0,4.0,1.42,0.9197,0.0,4.0,1.42,0,0.4745,0.3394,0.2083,4.14,2.34,1.06,1.0031,0.0,12.0,2.34,1.0101,0.0,12.0,2.34,0.02,0.4869,10.0323,51
19659,2.2,2.0,0.6,15,4,1,7,0.4,True,20,False,0.0,HYBRID,TEAM,5,5,0.6242,0.0722,21.76,2.58,5.48,3.6038,0.0,2.0,2.58,3.308,0.0,0.0,2.58,1.34,1.8413,0.7196,0.2445,4.04,0.9,2.38,1.3036,0.0,2.0,0.88,1.3036,0.0,2.0,0.88,0,0.8477,0.6,0.4949,0.74,0,0.74,1.089,1.0,0.0,0,1.089,1.0,0.0,0,0,0.7245,0.4263,0.0806,19.84,4.12,2.64,1.3539,0.0,42.0,3.68,1.5539,0.0,36.0,3.66,0.64,0.5448,0.3073,0.3044,2.28,1.36,0.72,0.9769,0.0,4.0,1.36,0.9769,0.0,4.0,1.36,0,0.5406,0.3113,0.2171,3.48,2.2,0.94,1.0507,0.0,6.0,2.2,1.0525,0.0,6.0,2.2,0.02,0.5596,9.2839,49
18720,2.6,2.0,0.5,15,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5297,0.0662,19.16,2.5,3.54,3.5849,0.0,12.0,2.46,3.302,0.0,6.0,2.46,1.32,1.7499,0.6,0.3172,2.62,0.82,1.36,1.2638,0.933,0.0,0.82,1.2638,0.933,0.0,0.82,0,0.8119,0.54,0.5035,0.74,0,0.74,1.1146,1.0,0.0,0,1.1146,1.0,0.0,0,0,0.7193,0.3866,0.085,21.14,5.1,2.68,1.7143,0.0,68.0,4.04,2.2904,0.0,38.0,4.08,1.04,0.8812,0.235,0.322,1.68,1.14,0.46,0.9834,0.0,4.0,1.14,0.9834,0.0,4.0,1.14,0,0.5222,0.1158,0.1802,3.14,2.54,0.38,0.6686,0.0,26.0,2.46,0.6686,0.0,26.0,2.46,0,0.109,9.6228,46
19526,2.4,2.0,0.55,12,4,2,3,0.6,True,5,False,0.0,HYBRID,TEAM,5,5,0.5929,0.0562,21.24,2.42,3.96,3.77,0.0,10.0,2.42,3.2922,0.0,10.0,2.42,1.3,1.724,0.5583,0.3334,2.14,0.9,1.04,1.1159,0.533,0.0,0.9,1.1159,0.533,0.0,0.9,0,0.7254,1.0,0.0,1,0,1,1.12,1.12,0.0,0,1.12,1.12,0.0,0,0,0.86,0.4262,0.0486,25.06,5.92,3.14,0.7097,0.0,78.0,4.16,2.3304,0.0,32.0,4.22,1.04,0.9731,0.18,0.2748,1.9,1.38,0.44,0.943,0.533,0.0,1.38,0.943,0.533,0.0,1.38,0,0.5255,0.2239,0.156,4.46,2.74,0.86,0.8678,0.0,18.0,2.64,0.8678,0.0,18.0,2.64,0,0.3211,9.6693,54
18673,2.6,2.0,0.5,12,4,1,7,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.5174,0.0688,17.9,2.64,3.36,3.6168,0.0,2.0,2.64,3.2612,0.0,2.0,2.64,1.22,1.7658,0.531,0.2884,3.18,1.24,1.44,1.2689,0.623,0.0,1.24,1.2689,0.623,0.0,1.24,0,0.7937,0.66,0.4785,0.92,0,0.92,1.137,1.0,0.0,0,1.137,1.0,0.0,0,0,0.7665,0.332,0.0804,18.58,6.24,2.38,0.6705,0.0,82.0,4.1,1.2421,0.0,62.0,4.06,0.52,0.1007,0.2847,0.3212,2.28,1.46,0.6,0.9467,0.0,4.0,1.44,0.9467,0.0,4.0,1.44,0,0.5188,0.211,0.2209,3.52,2.48,0.64,0.8253,0.0,16.0,2.44,0.8253,0.0,16.0,2.44,0,0.3159,8.6812,43
19050,2.6,2.0,0.6,15,4,1,7,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5257,0.0757,17.76,2.52,3.42,3.5207,0.0,10.0,2.46,3.231,0.0,4.0,2.48,1.22,1.7332,0.593,0.3228,2.78,0.94,1.46,1.2379,0.8,0.0,0.94,1.2379,0.8,0.0,0.94,0,0.7968,0.7,0.4629,0.96,0,0.96,1.1488,1.0,0.0,0,1.1488,1.0,0.0,0,0,0.7844,0.3599,0.0951,19.72,4.92,2.16,1.1525,0.0,72.0,4.04,1.3678,0.0,56.0,4,0.58,0.2319,0.2053,0.3455,1.8,1.3,0.4,0.9285,0.533,0.0,1.3,0.9285,0.533,0.0,1.3,0,0.5258,0.207,0.2212,2.98,2.18,0.6,0.9753,0.0,8.0,2.16,0.9874,0.0,8.0,2.16,0.04,0.4758,8.9014,41
18882,2.6,2.0,0.55,15,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.506,0.0562,19.24,2.64,2.98,3.4851,0.0,10.0,2.58,3.2292,0.0,4.0,2.62,1.12,1.7264,0.5333,0.319,2.86,1.12,1.3,1.2055,0.0,4.0,1.12,1.2055,0.0,4.0,1.12,0,0.7227,0.52,0.5047,0.68,0,0.68,1.1004,1.0,0.0,0,1.1004,1.0,0.0,0,0,0.7062,0.3512,0.0775,21.16,5.66,2.48,0.4096,0.0,86.0,4.24,1.4524,0.0,52.0,4.24,0.68,0.3116,0.2183,0.3828,1.48,1.1,0.34,0.9549,0.0,4.0,1.1,0.9549,0.0,4.0,1.1,0,0.5029,0.1422,0.1843,3.24,2.42,0.44,0.8103,0.0,14.0,2.38,0.8261,0.0,14.0,2.38,0.02,0.3157,8.7685,46
19544,2.6,2.0,0.65,15,4,2,5,0.4,True,5,False,0.05,HYBRID,TEAM,5,5,0.5256,0.052,20.36,2.42,2.64,3.606,0.0,4.0,2.42,3.2234,0.0,4.0,2.42,1.22,1.7294,0.5111,0.144,4.66,2.12,1.74,1.2519,0.0,2.0,2.12,1.256,0.0,2.0,2.12,0.02,0.7613,1.0,0.0,1,0,1,1.092,1.092,0.0,0,1.092,1.092,0.0,0,0,0.846,0.399,0.0689,23.16,4.4,2.6,1.7236,0.0,58.0,3.82,2.4493,0.0,24.0,3.8,1.12,1.1043,0.1627,0.2265,2.58,1.98,0.4,0.8625,0.0,4.0,1.96,0.8625,0.0,4.0,1.96,0,0.4401,0.0567,0.1565,1.6,1.48,0.12,0.8949,0.533,0.0,1.48,0.8949,0.533,0.0,1.48,0,0.4645,9.7781,51
