variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,O15R_wr_mean,O15R_wr_std,O15R_n_mean,O15R_worst_streak,O15R_best_streak,O15R_nm_mult_mean,O15R_nm_mult_min,O15R_nm_ruin,O15R_nm_streak,O15R_safe_mult_mean,O15R_safe_mult_min,O15R_safe_ruin,O15R_safe_streak,O15R_safe_dbl,O15R_score,total_safe_mult,total_n
19001,2.6,2.0,0.6,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4798,0.0515,26.7667,3.7667,2.5333,4.0822,0.0,26.7,3.3667,4.0613,1.026,0.0,3.4333,1.8667,2.1746,4.0613,26
18677,2.6,2.0,0.5,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4835,0.0656,26.7333,4,2.6,4.0498,0.0,40.0,3.5667,4.0311,0.0,3.3,3.6,1.8667,2.1276,4.0311,26
18992,2.6,2.0,0.6,12,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4613,0.0514,26.5333,3.9,2.4,3.3531,0.0,40.0,3.6333,3.9831,1.259,0.0,3.5,1.7667,2.1299,3.9831,26
19526,2.4,2.0,0.55,12,4,2,3,0.6,True,5,False,0.0,HYBRID,TEAM,5,5,0.4996,0.0659,26.1,2.9,3.0333,4.4199,0.0,13.3,2.8667,3.9765,1.283,0.0,2.8667,1.9,2.1381,3.9765,26
19509,2.6,1.6,0.6,12,4,1,3,0.6,True,10,False,0.0,TEAM,TEAM,5,5,0.585,0.0425,29.1,2.8667,3.6,4.6243,0.0,3.3,2.8667,3.9483,2.329,0.0,2.8667,1.8667,2.1497,3.9483,29
17705,2.6,1.8,0.5,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.51,0.0476,27.6333,3.3333,2.6333,3.6931,0.0,13.3,3.3333,3.8881,1.022,0.0,3.3333,1.9333,2.097,3.8881,27
16571,2.6,1.6,None,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5629,0.0521,29.8333,3.0333,3.4333,4.3422,0.0,10.0,2.9,3.8496,0.0,3.3,2.8667,1.8,2.0607,3.8496,29
18839,2.6,2.0,0.55,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4685,0.0611,26.6,3.7667,2.3,2.9969,0.0,40.0,3.5,3.8101,1.04,0.0,3.5333,1.9,2.0456,3.8101,26
17975,2.6,1.8,0.55,18,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5086,0.0513,27.0667,3.7,2.8333,3.3305,0.0,36.7,3.6,3.7807,1.002,0.0,3.5667,1.8667,2.0429,3.7807,27
17543,2.6,1.8,None,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4965,0.0409,28,3.7333,2.6333,3.1669,0.0,36.7,3.5667,3.7778,1.03,0.0,3.5667,1.8,2.0379,3.7778,28
