variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,O15R_wr_mean,O15R_wr_std,O15R_n_mean,O15R_worst_streak,O15R_best_streak,O15R_nm_mult_mean,O15R_nm_mult_min,O15R_nm_ruin,O15R_nm_streak,O15R_safe_mult_mean,O15R_safe_mult_min,O15R_safe_ruin,O15R_safe_streak,O15R_safe_dbl,O15R_score,U35R_wr_mean,U35R_wr_std,U35R_n_mean,U35R_worst_streak,U35R_best_streak,U35R_nm_mult_mean,U35R_nm_mult_min,U35R_nm_ruin,U35R_nm_streak,U35R_safe_mult_mean,U35R_safe_mult_min,U35R_safe_ruin,U35R_safe_streak,U35R_safe_dbl,U35R_score,O25R_wr_mean,O25R_wr_std,O25R_n_mean,O25R_worst_streak,O25R_best_streak,O25R_nm_mult_mean,O25R_nm_mult_min,O25R_nm_ruin,O25R_nm_streak,O25R_safe_mult_mean,O25R_safe_mult_min,O25R_safe_ruin,O25R_safe_streak,O25R_safe_dbl,O25R_score,O15SR_wr_mean,O15SR_wr_std,O15SR_n_mean,O15SR_worst_streak,O15SR_best_streak,O15SR_nm_mult_mean,O15SR_nm_mult_min,O15SR_nm_ruin,O15SR_nm_streak,O15SR_safe_mult_mean,O15SR_safe_mult_min,O15SR_safe_ruin,O15SR_safe_streak,O15SR_safe_dbl,O15SR_score,U35SR_wr_mean,U35SR_wr_std,U35SR_n_mean,U35SR_worst_streak,U35SR_best_streak,U35SR_nm_mult_mean,U35SR_nm_mult_min,U35SR_nm_ruin,U35SR_nm_streak,U35SR_safe_mult_mean,U35SR_safe_mult_min,U35SR_safe_ruin,U35SR_safe_streak,U35SR_safe_dbl,U35SR_score,O25SR_wr_mean,O25SR_wr_std,O25SR_n_mean,O25SR_worst_streak,O25SR_best_streak,O25SR_nm_mult_mean,O25SR_nm_mult_min,O25SR_nm_ruin,O25SR_nm_streak,O25SR_safe_mult_mean,O25SR_safe_mult_min,O25SR_safe_ruin,O25SR_safe_streak,O25SR_safe_dbl,O25SR_score,total_safe_mult,total_n
19317,2.6,2.0,0.7,12,4,1,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.621,0.0963,10.32,1.8,3.24,2.1007,1.201,0.0,1.8,2.2318,1.201,0.0,1.8,0.66,1.3022,0.4,0.2333,1.88,1,0.88,1.1346,0.933,0.0,1,1.1346,0.933,0.0,1,0,0.6873,0.1,0.303,0.1,0,0.1,1.0203,1.0,0.0,0,1.0203,1.0,0.0,0,0,0.5402,0.4323,0.0714,21.94,3.9,2.36,3.2471,0.0,44.0,3.52,3.6142,0.0,12.0,3.46,1.5,1.8168,0.1449,0.1921,3.06,2.4,0.48,0.765,0.0,16.0,2.3,0.765,0.0,16.0,2.3,0,0.266,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.7659,35
16187,2.6,1.4,0.6,18,4,1,5,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.521,0.0931,18.64,3.3,3.16,2.0725,0.0,18.0,3.1,2.0087,0.0,18.0,3.1,0.66,0.9807,0.6659,0.237,4,0.96,2.2,1.402,1.036,0.0,0.96,1.402,1.036,0.0,0.96,0,0.9008,1.0,0.0,2.94,0,2.94,1.2255,1.073,0.0,0,1.2255,1.073,0.0,0,0,0.9127,0.4712,0.0762,22.1,3.62,2.96,4.5311,0.0,36.0,3.26,3.53,0.0,28.0,3.26,1.46,1.6264,0.229,0.325,1.8,1.26,0.5,0.9104,0.0,8.0,1.26,0.9104,0.0,8.0,1.26,0,0.4439,0.2243,0.21,2.9,2,0.62,1.1095,0.0,2.0,2,1.1241,0.0,2.0,2,0.06,0.6093,10.2007,49
12357,2.4,1.4,0.65,12,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5365,0.0658,19.4,3.14,3.34,1.6632,0.0,24.0,2.9,1.7093,0.0,24.0,2.9,0.6,0.7756,0.8383,0.223,2.34,0.48,1.82,1.247,1.095,0.0,0.48,1.247,1.095,0.0,0.48,0,0.875,1.0,0.0,2.18,0,2.18,1.1025,1.073,0.0,0,1.1025,1.073,0.0,0,0,0.8513,0.4674,0.0704,26.68,4,4.04,3.7755,0.0,38.0,3.56,3.509,0.0,20.0,3.62,1.52,1.6947,0.1683,0.2324,2.62,2.08,0.42,0.8027,0.0,12.0,2.06,0.8027,0.0,12.0,2.06,0,0.3318,0.0,0.0,2.46,2.46,0,0.6665,0.0,4.0,2.46,0.6665,0.0,4.0,2.46,0,0.2933,9.037,53
12511,2.4,1.4,0.7,12,4,1,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.5815,0.1157,11,1.68,3.36,1.604,0.0,6.0,1.66,1.6288,0.0,6.0,1.66,0.14,0.9288,0.9123,0.1507,3.34,0.3,2.76,1.3693,1.026,0.0,0.3,1.3693,1.026,0.0,0.3,0,0.9583,1.0,0.0,1.1,0,1.1,1.0478,1.027,0.0,0,1.0478,1.027,0.0,0,0,0.8239,0.5138,0.049,25.06,3.22,3.48,4.1245,0.0,18.0,3.16,3.492,0.0,14.0,3.16,1.52,1.7601,0.3187,0.2479,2.82,1.7,0.86,0.9639,0.0,4.0,1.7,0.9639,0.0,4.0,1.7,0,0.5376,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.5018,42
16248,2.6,1.4,0.65,12,4,2,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5625,0.0806,17.5,2.42,3.62,1.876,0.0,4.0,2.42,1.958,0.0,4.0,2.42,0.62,1.1078,0.8167,0.2715,1.96,0.4,1.48,1.2323,0.933,0.0,0.4,1.2323,0.933,0.0,0.4,0,0.8612,1.0,0.0,2.32,0,2.32,1.1168,1.073,0.0,0,1.1168,1.073,0.0,0,0,0.8584,0.401,0.0639,23.2,3.92,2.46,4.1044,0.0,40.0,3.44,3.4647,0.0,24.0,3.44,1.42,1.6127,0.149,0.2117,2.58,2.08,0.4,0.8209,0.0,10.0,2.04,0.8209,0.0,10.0,2.04,0,0.3551,0.02,0.099,1.52,1.48,0.04,0.8724,0.533,0.0,1.48,0.8724,0.533,0.0,1.48,0,0.4422,9.4651,46
14509,2.4,1.8,0.7,15,4,1,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.5407,0.1143,10.24,2.12,3.1,1.9001,0.0,4.0,2.08,2.0193,0.0,4.0,2.08,0.6,1.1319,0.945,0.1198,3.16,0.18,2.8,1.3508,1.209,0.0,0.18,1.3508,1.209,0.0,0.18,0,0.9589,0.06,0.2399,0.06,0,0.06,1.0122,1.0,0.0,0,1.0122,1.0,0.0,0,0,0.5241,0.5134,0.0684,23.86,3.2,3.66,3.8928,0.0,20.0,3.08,3.4441,0.0,16.0,3.08,1.5,1.7161,0.2753,0.2157,2.88,1.86,0.86,0.9402,0.0,2.0,1.86,0.9402,0.0,2.0,1.86,0,0.5327,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.7666,38
12520,2.4,1.4,0.7,12,4,2,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.6227,0.0963,12,1.66,3.58,1.6037,0.0,10.0,1.64,1.6524,0.0,10.0,1.64,0.24,0.913,0.8893,0.1568,3.2,0.36,2.5,1.3317,1.026,0.0,0.36,1.3317,1.026,0.0,0.36,0,0.9326,1.0,0.0,1.12,0,1.12,1.052,1.027,0.0,0,1.052,1.027,0.0,0,0,0.826,0.5207,0.0553,27.7,3.6,4.08,4.1394,0.0,32.0,3.46,3.431,0.0,18.0,3.46,1.54,1.6917,0.2194,0.2342,2.86,2.1,0.58,0.8172,0.0,6.0,2.08,0.8172,0.0,6.0,2.08,0,0.4144,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.2843,45
16517,2.6,1.4,0.7,18,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.6397,0.0658,11.26,1.48,2.92,1.6701,1.099,0.0,1.48,1.6962,1.099,0.0,1.48,0.14,1.04,0.54,0.0985,2.4,1.08,1.32,1.2031,1.15,0.0,1.08,1.2031,1.15,0.0,1.08,0,0.7636,1.0,0.0,1.12,0,1.12,1.052,1.027,0.0,0,1.052,1.027,0.0,0,0,0.826,0.5162,0.0645,25.24,3.44,4.2,4.2279,0.0,28.0,3.36,3.4078,0.0,20.0,3.36,1.48,1.6588,0.3143,0.2362,2.94,1.82,0.76,1.0794,0.533,0.0,1.82,1.0794,0.533,0.0,1.82,0,0.634,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.4385,41
17265,2.6,1.6,0.65,15,4,1,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5258,0.0807,15.96,2.64,3.38,2.2301,0.0,8.0,2.64,2.2254,0.0,8.0,2.64,0.82,1.1904,0.8317,0.2539,2.24,0.38,1.82,1.2646,0.933,0.0,0.38,1.2646,0.933,0.0,0.38,0,0.8818,1.0,0.0,1.44,0,1.44,1.1095,1.045,0.0,0,1.1095,1.045,0.0,0,0,0.8547,0.4154,0.0733,22.16,4.1,2.6,3.2283,0.0,54.0,3.54,3.3864,0.0,20.0,3.52,1.4,1.6178,0.115,0.1699,2.32,1.9,0.36,0.8287,0.0,2.0,1.9,0.8287,0.0,2.0,1.9,0,0.4288,0.02,0.099,1.36,1.32,0.04,0.9009,0.533,0.0,1.32,0.9009,0.533,0.0,1.32,0,0.4565,9.7155,43
16237,2.6,1.4,0.65,12,4,1,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.6152,0.0584,17.56,1.76,3.78,1.8027,0.0,2.0,1.76,1.8714,0.0,2.0,1.76,0.4,1.1003,0.8283,0.3557,1.78,0.1,1.66,1.2245,0.933,0.0,0.1,1.2245,0.933,0.0,0.1,0,0.8607,1.0,0.0,2.32,0,2.32,1.1176,1.073,0.0,0,1.1176,1.073,0.0,0,0,0.8588,0.4842,0.0588,23.82,3.54,2.94,4.2452,0.0,32.0,3.28,3.379,0.0,26.0,3.3,1.42,1.5748,0.2017,0.2309,2.34,1.74,0.46,0.9139,0.0,2.0,1.74,0.9139,0.0,2.0,1.74,0,0.4975,0.0117,0.0583,2.18,2.14,0.04,0.7906,0.0,2.0,2.14,0.7906,0.0,2.0,2.14,0,0.3788,9.297,47
