variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,O15R_wr_mean,O15R_wr_std,O15R_n_mean,O15R_worst_streak,O15R_best_streak,O15R_nm_mult_mean,O15R_nm_mult_min,O15R_nm_ruin,O15R_nm_streak,O15R_safe_mult_mean,O15R_safe_mult_min,O15R_safe_ruin,O15R_safe_streak,O15R_safe_dbl,O15R_score,U35R_wr_mean,U35R_wr_std,U35R_n_mean,U35R_worst_streak,U35R_best_streak,U35R_nm_mult_mean,U35R_nm_mult_min,U35R_nm_ruin,U35R_nm_streak,U35R_safe_mult_mean,U35R_safe_mult_min,U35R_safe_ruin,U35R_safe_streak,U35R_safe_dbl,U35R_score,O25R_wr_mean,O25R_wr_std,O25R_n_mean,O25R_worst_streak,O25R_best_streak,O25R_nm_mult_mean,O25R_nm_mult_min,O25R_nm_ruin,O25R_nm_streak,O25R_safe_mult_mean,O25R_safe_mult_min,O25R_safe_ruin,O25R_safe_streak,O25R_safe_dbl,O25R_score,O15SR_wr_mean,O15SR_wr_std,O15SR_n_mean,O15SR_worst_streak,O15SR_best_streak,O15SR_nm_mult_mean,O15SR_nm_mult_min,O15SR_nm_ruin,O15SR_nm_streak,O15SR_safe_mult_mean,O15SR_safe_mult_min,O15SR_safe_ruin,O15SR_safe_streak,O15SR_safe_dbl,O15SR_score,U35SR_wr_mean,U35SR_wr_std,U35SR_n_mean,U35SR_worst_streak,U35SR_best_streak,U35SR_nm_mult_mean,U35SR_nm_mult_min,U35SR_nm_ruin,U35SR_nm_streak,U35SR_safe_mult_mean,U35SR_safe_mult_min,U35SR_safe_ruin,U35SR_safe_streak,U35SR_safe_dbl,U35SR_score,O25SR_wr_mean,O25SR_wr_std,O25SR_n_mean,O25SR_worst_streak,O25SR_best_streak,O25SR_nm_mult_mean,O25SR_nm_mult_min,O25SR_nm_ruin,O25SR_nm_streak,O25SR_safe_mult_mean,O25SR_safe_mult_min,O25SR_safe_ruin,O25SR_safe_streak,O25SR_safe_dbl,O25SR_score,total_safe_mult,total_n
19615,2.4,1.8,0.55,12,4,1,7,0.8,True,20,False,0.0,TEAM,TEAM,5,5,0.4849,0.0587,20.14,3.32,2.74,3.08,0.0,22.0,3.3,2.9108,0.0,12.0,3.28,1.24,1.4809,0.883,0.1214,5.36,0.64,3.92,1.6677,1.378,0.0,0.64,1.6677,1.378,0.0,0.64,0,1.0987,0.8,0.4041,0.8,0,0.8,1.0944,1.0,0.0,0,1.0944,1.0,0.0,0,0,0.7872,0.3619,0.0939,19.62,5.56,2.44,0.7243,0.0,72.0,4.04,1.4077,0.0,46.0,4.04,0.6,0.3524,0.3533,0.3652,2,1.26,0.68,0.9626,0.0,2.0,1.24,0.9626,0.0,2.0,1.24,0,0.5673,0.2165,0.2116,4.12,2.72,0.74,0.7335,0.0,26.0,2.62,0.7403,0.0,26.0,2.62,0.02,0.1751,8.7835,50
13160,2.4,1.6,0.6,12,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4791,0.0785,20.64,4.12,3.14,1.3238,0.0,52.0,3.66,1.2535,0.0,50.0,3.66,0.46,0.2705,0.8102,0.1403,5.48,0.94,3.42,1.5415,1.088,0.0,0.94,1.5415,1.088,0.0,0.94,0,1.0138,1.0,0.0,1.72,0,1.72,1.126,1.045,0.0,0,1.126,1.045,0.0,0,0,0.863,0.4673,0.0681,24.88,4.84,3.4,2.0417,0.0,62.0,3.94,1.9459,0.0,52.0,3.92,0.8,0.5931,0.268,0.3229,1.96,1.34,0.54,0.9661,0.533,0.0,1.34,0.9661,0.533,0.0,1.34,0,0.5635,0.3422,0.1674,3.68,2,1.02,1.0698,0.0,4.0,1.98,1.08,0.0,4.0,1.98,0.04,0.6027,7.913,54
18020,2.6,1.8,0.6,12,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5074,0.082,19.48,2.9,3.42,2.1882,0.0,22.0,2.9,2.3535,0.0,14.0,2.9,0.88,1.189,0.7999,0.1617,4.78,0.82,2.98,1.5282,1.121,0.0,0.82,1.5325,1.121,0.0,0.82,0.02,1.0062,0.56,0.5014,0.64,0,0.64,1.0963,1.0,0.0,0,1.0963,1.0,0.0,0,0,0.7162,0.4368,0.0718,24.7,5.04,2.94,2.4384,0.0,64.0,3.78,2.4064,0.0,42.0,3.72,1.06,0.9142,0.254,0.3382,1.9,1.32,0.52,0.9455,0.533,0.0,1.32,0.9455,0.533,0.0,1.32,0,0.549,0.289,0.1923,3.72,2.24,0.84,1.0775,0.0,6.0,2.24,1.0911,0.0,6.0,2.24,0.04,0.5722,9.4253,51
13808,2.4,1.8,0.5,12,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4766,0.0834,19.62,3.36,2.96,2.0182,0.0,22.0,3.26,2.1377,0.0,16.0,3.26,0.8,1.0518,0.8026,0.1774,4.86,0.9,2.96,1.5312,0.961,0.0,0.9,1.5312,0.961,0.0,0.9,0,1.0064,0.54,0.5035,0.8,0,0.8,1.1197,1.0,0.0,0,1.1197,1.0,0.0,0,0,0.7218,0.4148,0.0791,22.38,5.32,2.96,0.6639,0.0,72.0,4.06,1.4132,0.0,54.0,4.06,0.68,0.291,0.2863,0.3388,2.24,1.56,0.54,0.9162,0.0,4.0,1.56,0.9162,0.0,4.0,1.56,0,0.504,0.2193,0.1982,3.78,2.46,0.72,0.9578,0.0,16.0,2.38,0.9671,0.0,16.0,2.38,0.04,0.3893,8.0851,50
19509,2.6,1.6,0.6,12,4,1,3,0.6,True,10,False,0.0,TEAM,TEAM,5,5,0.5838,0.0469,22.24,2.34,3.8,3.4275,2.01,0.0,2.34,3.1378,2.212,0.0,2.34,1.1,1.744,0.6713,0.0984,5.24,1.76,2,1.5057,0.589,0.0,1.76,1.5102,0.589,0.0,1.76,0.02,0.9565,1.0,0.0,1.74,0,1.74,1.1375,1.045,0.0,0,1.1375,1.045,0.0,0,0,0.8687,0.3983,0.0761,23.9,5.04,2.48,2.9,0.0,66.0,3.84,2.6303,0.0,44.0,3.76,1.08,0.9946,0.1737,0.3013,1.76,1.3,0.4,0.9103,0.0,4.0,1.28,0.9103,0.0,4.0,1.28,0,0.4673,0.258,0.1968,3.94,2.58,0.92,0.8933,0.0,14.0,2.56,0.9072,0.0,14.0,2.56,0.06,0.391,10.2333,55
12674,2.4,1.6,None,12,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4816,0.0623,20.8,3.8,3.04,1.7098,0.0,42.0,3.5,1.7462,0.0,38.0,3.5,0.64,0.6376,0.7929,0.1641,5.42,0.88,3.26,1.5071,1.008,0.0,0.88,1.5071,1.008,0.0,0.88,0,0.9914,1.0,0.0,1.94,0,1.94,1.1484,1.045,0.0,0,1.1484,1.045,0.0,0,0,0.8742,0.4829,0.0608,25.14,4.42,3.44,2.7673,0.0,52.0,3.8,2.791,0.0,34.0,3.8,1.16,1.2004,0.2563,0.3557,1.98,1.34,0.54,0.9295,0.0,2.0,1.34,0.9295,0.0,2.0,1.34,0,0.5216,0.3534,0.1967,3.74,2.08,0.96,1.0595,0.0,6.0,2.08,1.065,0.0,6.0,2.08,0.02,0.5785,9.1872,55
13169,2.4,1.6,0.6,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5026,0.0554,22.2,3.58,4.36,1.5797,0.0,34.0,3.46,1.4771,0.0,34.0,3.46,0.54,0.5493,0.7786,0.1512,5.5,1.08,3.36,1.4853,1.063,0.0,1.08,1.4942,1.063,0.0,1.08,0.04,0.9807,1.0,0.0,2.1,0,2.1,1.1798,1.045,0.0,0,1.1798,1.045,0.0,0,0,0.8899,0.512,0.0568,27.04,4.78,4.32,2.1544,0.0,58.0,3.86,2.6077,0.0,38.0,3.86,1.08,1.0774,0.322,0.3674,2.16,1.38,0.66,1.0063,0.0,2.0,1.38,1.0063,0.0,2.0,1.38,0,0.5797,0.34,0.1965,3.8,2,0.96,1.099,0.0,6.0,2,1.099,0.0,6.0,2,0,0.5915,8.8641,61
14729,2.4,2.0,None,18,4,1,5,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4299,0.091,18,3.58,2.44,1.5979,0.0,36.0,3.46,1.605,0.0,32.0,3.46,0.6,0.6115,0.6394,0.1818,4.66,1.28,2.28,1.4892,1.047,0.0,1.28,1.4934,1.047,0.0,1.28,0.02,0.9385,0.7,0.4629,1.1,0,1.1,1.158,1.0,0.0,0,1.158,1.0,0.0,0,0,0.789,0.4853,0.0789,22.26,3.94,3.28,2.7871,0.0,36.0,3.4,2.5701,0.0,28.0,3.38,1.1,1.1506,0.2753,0.326,1.86,1.16,0.6,0.9945,0.0,2.0,1.16,0.9945,0.0,2.0,1.16,0,0.5598,0.2307,0.2401,2.82,2.06,0.64,0.9193,0.0,10.0,2.06,0.9193,0.0,10.0,2.06,0,0.4289,8.7403,48
16571,2.6,1.6,None,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5373,0.0656,22.1,2.94,4.32,2.3718,0.0,10.0,2.94,2.4114,0.0,8.0,2.94,0.84,1.2869,0.8435,0.1751,4.94,0.7,3.6,1.4867,1.0,0.0,0.7,1.4929,1.0,0.0,0.7,0.02,0.9995,1.0,0.0,2.1,0,2.1,1.1696,1.045,0.0,0,1.1696,1.045,0.0,0,0,0.8848,0.472,0.0591,26.46,5.02,4.08,1.8022,0.0,74.0,4.06,1.7188,0.0,54.0,4.08,0.72,0.461,0.284,0.3469,1.72,1.04,0.52,0.9776,0.0,2.0,1.04,0.9776,0.0,2.0,1.04,0,0.554,0.2627,0.2054,3.52,2.3,0.82,0.9364,0.0,10.0,2.28,0.9472,0.0,10.0,2.28,0.04,0.4524,8.7175,58
3772,1.8,2.0,0.7,12,4,2,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.6817,0.0887,15.08,1.84,5.42,1.783,0.0,4.0,1.82,1.8381,0.0,4.0,1.82,0.3,1.0836,0.9567,0.0759,6.06,0.26,5.44,1.4903,1.231,0.0,0.26,1.4903,1.231,0.0,0.26,0,1.0322,0.94,0.2399,1.42,0,1.42,1.1055,1.0,0.0,0,1.1055,1.0,0.0,0,0,0.8347,0.5629,0.1011,15.18,2.9,3.74,1.4554,0.0,16.0,2.78,1.5355,0.0,16.0,2.78,0.5,0.7766,0.472,0.3166,2.7,1.3,1.22,0.9849,0.0,2.0,1.3,0.9849,0.0,2.0,1.3,0,0.614,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,7.9543,39
