variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,O15R_wr_mean,O15R_wr_std,O15R_n_mean,O15R_worst_streak,O15R_best_streak,O15R_nm_mult_mean,O15R_nm_mult_min,O15R_nm_ruin,O15R_nm_streak,O15R_safe_mult_mean,O15R_safe_mult_min,O15R_safe_ruin,O15R_safe_streak,O15R_safe_dbl,O15R_score,U35R_wr_mean,U35R_wr_std,U35R_n_mean,U35R_worst_streak,U35R_best_streak,U35R_nm_mult_mean,U35R_nm_mult_min,U35R_nm_ruin,U35R_nm_streak,U35R_safe_mult_mean,U35R_safe_mult_min,U35R_safe_ruin,U35R_safe_streak,U35R_safe_dbl,U35R_score,O25R_wr_mean,O25R_wr_std,O25R_n_mean,O25R_worst_streak,O25R_best_streak,O25R_nm_mult_mean,O25R_nm_mult_min,O25R_nm_ruin,O25R_nm_streak,O25R_safe_mult_mean,O25R_safe_mult_min,O25R_safe_ruin,O25R_safe_streak,O25R_safe_dbl,O25R_score,O15SR_wr_mean,O15SR_wr_std,O15SR_n_mean,O15SR_worst_streak,O15SR_best_streak,O15SR_nm_mult_mean,O15SR_nm_mult_min,O15SR_nm_ruin,O15SR_nm_streak,O15SR_safe_mult_mean,O15SR_safe_mult_min,O15SR_safe_ruin,O15SR_safe_streak,O15SR_safe_dbl,O15SR_score,U35SR_wr_mean,U35SR_wr_std,U35SR_n_mean,U35SR_worst_streak,U35SR_best_streak,U35SR_nm_mult_mean,U35SR_nm_mult_min,U35SR_nm_ruin,U35SR_nm_streak,U35SR_safe_mult_mean,U35SR_safe_mult_min,U35SR_safe_ruin,U35SR_safe_streak,U35SR_safe_dbl,U35SR_score,O25SR_wr_mean,O25SR_wr_std,O25SR_n_mean,O25SR_worst_streak,O25SR_best_streak,O25SR_nm_mult_mean,O25SR_nm_mult_min,O25SR_nm_ruin,O25SR_nm_streak,O25SR_safe_mult_mean,O25SR_safe_mult_min,O25SR_safe_ruin,O25SR_safe_streak,O25SR_safe_dbl,O25SR_score,total_safe_mult,total_n
16409,2.6,1.4,0.7,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.6501,0.0698,11.28,1.52,3,1.6735,1.015,0.0,1.52,1.7123,1.015,0.0,1.52,0.24,1.0512,0.555,0.0947,2.46,1.06,1.4,1.2145,1.15,0.0,1.06,1.2145,1.15,0.0,1.06,0,0.7737,1.0,0.0,1.14,0,1.14,1.0561,1.027,0.0,0,1.0561,1.027,0.0,0,0,0.828,0.5225,0.0448,27.52,3.88,4.06,3.4097,0.0,38.0,3.72,2.9722,0.0,28.0,3.72,1.32,1.3628,0.3197,0.2247,2.98,1.76,0.84,1.1479,0.533,0.0,1.76,1.1522,0.533,0.0,1.76,0.02,0.672,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.1073,43
16454,2.6,1.4,0.7,15,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.6374,0.0764,11.46,1.64,2.9,1.6439,1.095,0.0,1.64,1.6973,1.095,0.0,1.64,0.24,1.0399,0.5517,0.0994,2.44,1.06,1.38,1.2076,1.15,0.0,1.06,1.2076,1.15,0.0,1.06,0,0.7693,1.0,0.0,1.08,0,1.08,1.0436,1.027,0.0,0,1.0436,1.027,0.0,0,0,0.8218,0.4829,0.055,23.46,3.38,3.38,4.0145,0.0,26.0,3.26,3.3678,0.0,22.0,3.26,1.42,1.6088,0.3333,0.2357,3.1,1.74,0.82,1.1468,0.0,2.0,1.72,1.1468,0.0,2.0,1.72,0,0.6534,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.4631,40
15870,2.6,1.4,0.5,18,4,2,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5686,0.0786,20.3,3.1,4.08,2.1915,0.0,22.0,2.96,2.4954,0.0,10.0,3,0.96,1.3183,0.586,0.2851,3.08,1.06,1.62,1.208,0.8,0.0,1.06,1.208,0.8,0.0,1.06,0,0.7798,1.0,0.0,2.94,0,2.94,1.2168,1.073,0.0,0,1.2168,1.073,0.0,0,0,0.9084,0.3923,0.0739,21.78,5.3,2.72,0.8937,0.0,80.0,4.1,1.9205,0.0,46.0,4.04,0.86,0.6179,0.409,0.3579,2.04,1.02,0.8,1.1437,0.533,0.0,1.02,1.1437,0.533,0.0,1.02,0,0.6946,0.2687,0.1957,3.96,2.24,0.88,1.0159,0.0,14.0,2.22,1.0234,0.0,14.0,2.22,0.02,0.4523,9.0078,51
18401,2.6,1.8,0.7,15,4,1,5,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.6754,0.0993,9.2,1.5,3.14,2.0998,1.626,0.0,1.5,2.2335,1.626,0.0,1.5,0.62,1.3194,0.561,0.1004,2.48,1.04,1.44,1.2171,1.15,0.0,1.04,1.2171,1.15,0.0,1.04,0,0.7769,0.14,0.3505,0.14,0,0.14,1.0284,1.0,0.0,0,1.0284,1.0,0.0,0,0,0.5562,0.3988,0.0933,20.58,4.6,2.34,1.9299,0.0,62.0,3.74,1.6276,0.0,58.0,3.72,0.66,0.3534,0.2177,0.1956,2.9,1.92,0.68,1.1117,0.533,0.0,1.92,1.1202,0.533,0.0,1.92,0.04,0.6254,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,8.2268,33
11657,2.2,2.0,0.7,18,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.6411,0.0771,13.58,1.6,2.96,2.3576,0.0,0.0,1.6,2.4483,0.0,0.0,1.6,0.98,1.4165,0.8387,0.1351,4.1,0.66,2.78,1.3901,1.214,0.0,0.66,1.3901,1.214,0.0,0.66,0,0.9467,0.38,0.4903,0.4,0,0.4,1.0549,1.0,0.0,0,1.0549,1.0,0.0,0,0,0.6414,0.4776,0.0577,23.58,3.36,3.2,2.3263,0.0,32.0,3.26,2.2397,0.0,26.0,3.26,0.94,1.0031,0.3982,0.2141,3.84,1.9,1.14,1.1157,0.0,2.0,1.9,1.1157,0.0,2.0,1.9,0,0.6573,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.2487,43
11651,2.2,2.0,0.7,18,4,1,5,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.6428,0.0765,13.3,1.64,2.94,2.3036,0.0,0.0,1.64,2.4084,0.0,0.0,1.64,0.94,1.397,0.794,0.1486,3.9,0.8,2.34,1.3467,1.201,0.0,0.8,1.3467,1.201,0.0,0.8,0,0.9115,0.22,0.4185,0.24,0,0.24,1.0402,1.0,0.0,0,1.0402,1.0,0.0,0,0,0.5861,0.4281,0.0917,20.4,4.28,2.66,1.5886,0.0,48.0,3.66,1.473,0.0,46.0,3.66,0.52,0.4049,0.3901,0.2014,3.88,1.84,1.06,1.1124,0.0,6.0,1.84,1.1124,0.0,6.0,1.84,0,0.6132,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,8.3807,39
11648,2.2,2.0,0.7,18,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.6556,0.0789,13.52,1.62,3.06,2.3154,0.0,0.0,1.62,2.3956,0.0,0.0,1.62,0.94,1.3945,0.8393,0.1573,3.98,0.62,2.8,1.3809,1.026,0.0,0.62,1.3809,1.026,0.0,0.62,0,0.9422,0.4,0.4949,0.42,0,0.42,1.0568,1.0,0.0,0,1.0568,1.0,0.0,0,0,0.6484,0.4401,0.081,19.9,3.5,2.56,2.2105,0.0,30.0,3.24,2.2567,0.0,22.0,3.22,0.84,1.0404,0.3807,0.2204,3.64,1.94,1.1,1.109,0.0,2.0,1.94,1.109,0.0,2.0,1.94,0,0.6487,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.199,38
8934,2.2,1.6,0.5,12,3,1,7,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5722,0.078,16.08,2.2,3.44,2.2565,0.0,2.0,2.2,2.3786,0.0,2.0,2.2,0.94,1.341,0.6413,0.2861,3.18,1.04,1.7,1.2473,0.533,0.0,1.04,1.2473,0.533,0.0,1.04,0,0.816,1.0,0.0,1.98,0,1.98,1.1874,1.045,0.0,0,1.1874,1.045,0.0,0,0,0.8937,0.3974,0.108,16.78,5.2,2.84,0.7415,0.0,62.0,4.06,0.9153,0.0,58.0,4.06,0.34,-0.0031,0.482,0.3519,2.34,1.08,0.98,1.1085,0.585,0.0,1.08,1.1085,0.585,0.0,1.08,0,0.6988,0.2908,0.2278,3.88,2.2,0.98,0.9472,0.0,6.0,2.12,0.9472,0.0,6.0,2.12,0,0.5008,7.7843,41
5708,2.0,1.6,0.7,12,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.671,0.0698,15.04,1.66,3.62,2.1011,0.0,0.0,1.66,2.2017,0.0,0.0,1.66,0.78,1.3022,0.7823,0.1489,4.54,0.98,2.74,1.3426,1.148,0.0,0.98,1.3426,1.148,0.0,0.98,0,0.906,0.86,0.3505,1.24,0,1.24,1.1065,1.0,0.0,0,1.1065,1.0,0.0,0,0,0.8113,0.5517,0.0567,25.68,3.26,4.22,2.6166,0.0,20.0,3.12,2.474,0.0,18.0,3.12,0.94,1.2225,0.4858,0.2303,3.94,1.74,1.42,1.1041,0.0,2.0,1.74,1.1041,0.0,2.0,1.74,0,0.6778,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.2289,48
16400,2.6,1.4,0.7,12,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.6309,0.0808,11.24,1.6,2.72,1.5932,1.024,0.0,1.6,1.6124,1.024,0.0,1.6,0.1,0.9955,0.565,0.0911,2.44,1.02,1.42,1.2124,1.15,0.0,1.02,1.2124,1.15,0.0,1.02,0,0.7757,1.0,0.0,1.1,0,1.1,1.0478,1.027,0.0,0,1.0478,1.027,0.0,0,0,0.8239,0.4847,0.0513,24.7,3.9,3.26,3.3572,0.0,44.0,3.58,2.9466,0.0,32.0,3.56,1.3,1.2987,0.351,0.2376,2.76,1.56,0.88,1.1015,0.533,0.0,1.56,1.1015,0.533,0.0,1.56,0,0.656,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,8.9207,40
